Offer date,IPO name,Ticker,CUSIP,Rollup,VC,Dual,Pishares,Internet,CRSP permanent ID,Founding,,,
20000302,Register.com Inc,RCOM,75914G101,0,1,0,.,1,87806,1994,,,
20000302,Switchboard Inc,SWBD,871045100,0,0,0,.,1,87817,1996,,,
20000302,UTStarcom Inc,UTSI,918076100,0,1,0,.,0,87825,1991,,,
20000303,Versata Inc,VATA,925298101,0,1,0,.,1,87826,1991,,,
20000306,Crayfish Co Ltd,CRFH,225226208,0,0,0,.,0,87761,-99,,,
20000306,IFCO Systems NV,IFE,N43961106,0,0,0,.,0,87778,1992,,,
20000306,Net 2000 Communications Inc,NTKK,64122G103,0,1,0,.,0,87796,1993,,,
20000307,FirstWorld Communications Inc,FWIS,337625305,0,1,1,49246398,0,87770,1992,,,
20000307,iprint.com Inc,IPRT,462628108,0,1,0,.,1,87783,1996,,,
20000308,New China Homes Ltd,CHOM,G6445R103,0,0,0,.,0,87794,1997,,,
20000309,GT Group Telecom Inc,GTTLO,362359408,0,1,1,41097731,0,87772,1996,,,
20000309,HomeGrocer.com,HOMG,43740K100,0,1,0,.,1,87775,1997,,,
20000309,OraPharma Inc,OPHM,68554E106,0,1,0,.,0,87798,1996,,,
20000309,Riverdeep Interactive Learning,RVDP,76870Q109,0,0,0,.,1,87807,1995,,,
20000309,Selectica Inc,SLTC,816288104,0,1,0,.,1,87814,1996,,,
20000310,OTG Software Inc,OTGS,671059103,0,1,0,.,1,87799,1992,,,
20000310,SUNDAY Communications Ltd,SDAY,867270100,0,0,0,.,0,87810,1997,,,
20000313,Digitas Inc,DTAS,25388K104,0,0,0,.,1,87763,1980,,,
20000313,FairMarket Inc,FAIM,305158107,0,1,0,.,1,87768,1997,,,
20000313,Infineon Technologies AG,IFX,45662N103,0,0,0,.,0,87664,1952,,,
20000313,RADVision Ltd,RVSN,M81869105,0,1,0,.,0,87808,1992,,,
20000314,Lastminute.com,LMIN,518129101,0,1,0,.,1,87788,-99,,,
20000315,ImproveNet Inc,IMPV,45321E106,0,1,0,.,1,87780,1996,,,
20000315,Loudeye Technologies Inc,LOUD,545754103,0,1,0,.,1,87790,1997,,,
20000315,Shochet Holding Corp,SHOC,82488Q101,0,0,0,.,0,87811,1999,,,
20000315,Tele1 Europe Holding AB,TEUR,87944T201,0,0,0,.,0,87818,-99,,,
20000316,PSi Technologies Inc,PSIT,74438Q109,0,0,0,.,0,87804,1988,,,
20000316,Universal Access Inc,UAXS,913363107,0,1,0,.,1,87823,1997,,,
20000317,Integrated Information Systems,IISX,45817B103,0,1,0,.,1,87779,1989,,,
20000317,Netpliance Inc,NPLI,64115K103,0,1,0,.,1,87795,1999,,,
20000320,Snowball.com Inc,SNOW,83335R102,0,1,0,.,1,87815,1997,,,
20000321,Aclara Biosciences Inc,ACLA,00461P106,0,1,0,.,0,87748,1995,,,
20000321,Caldera Systems Inc,CALD,128780103,0,0,0,.,1,87756,1994,,,
20000322,Blaze Software Inc,BLZE,09347T109,0,1,0,.,1,87754,1985,,,
20000322,BreezeCOM Inc,BRZE,M20385106,0,1,0,.,0,87755,1993,,,
20000322,Partsbase.com Inc,PRTS,70214P109,0,0,0,.,1,87803,1996,,,
20000322,inSilicon Corp,INSN,45769H108,0,0,0,.,0,87782,1999,,,
20000323,Silicon Laboratories Inc,SLAB,826919102,0,1,0,.,0,87812,1996,,,
20000323,Sun Life Finl Svcs of Canada,SLC,866796105,0,0,0,.,0,87666,1901,,,
20000323,Viasystems Group,VG,92553H100,0,0,0,.,0,87668,1973,,,
20000324,ETINUUM INC,ETIN,297664104,0,1,0,.,1,87766,1996,,,
20000324,Eprise Corp,EPRS,294352109,0,1,0,.,0,87765,1992,,,
20000324,Intermune Pharmaceuticals Inc,ITMN,45885B100,0,1,0,.,0,87785,1998,,,
20000324,e Machines Inc,EEEE,29076P102,0,1,0,.,0,87764,1998,,,
20000327,ARTISTdirect Inc,ARTD,04315D103,0,1,0,.,1,87751,1999,,,
20000327,Allos Therapeutics Inc,ALTH,019777101,0,1,0,.,0,87750,1992,,,
20000327,Comple Tel Europe NV,CLTL,N21590109,0,0,0,.,0,87758,1998,,,
20000327,IntraBiotics Pharmaceuticals,IBPI,46116T100,0,1,0,.,0,87777,1994,,,
20000327,Moldflow Corp,MFLO,608507109,0,1,0,.,0,87791,1980,,,
20000327,Websense Inc,WBSN,947684106,0,1,0,.,1,87827,1994,,,
20000328,MVC Capital,MVC,55271E105,0,0,0,.,0,88307,-99,,,
20000328,Telocity Delaware Inc,TLCT,87971D103,0,1,0,.,1,87819,1999,,,
20000329,Bio Aqua Systems Inc,SEA,090556101,0,0,0,.,0,87833,-99,,,
20000330,ArrowPoint Communications Inc,ARPT,042810101,0,1,0,.,1,87829,1997,,,
20000330,Imageware Systems Inc,IW,45245S207,0,0,0,.,0,88213,-99,,,
20000330,Luminex Corp,LMNX,55027E102,0,0,0,.,0,87789,1995,,,
20000330,PetroChina,PTR,71646E100,0,0,1,318241760,0,87844,1988,,,
20000330,Trader.com (Hebdo Mag Europe),TRDR,89254T102,0,0,1,91102000,1,87820,1987,,,
20000330,Valueclick Inc,VCLK,92046N102,0,0,0,.,1,88207,1997,,,
20000404,Cabot Microelectronics Corp,CCMP,12709P103,0,0,0,.,0,88152,1985,,,
20000404,Krispy Kreme Doughnuts Inc,KREM,501014104,0,0,0,.,0,88172,1937,,,
20000404,Oratec Interventions Inc,OTEC,68554M108,0,1,0,.,0,88185,1993,,,
20000404,Ulticom Inc,ULCM,903844108,0,0,0,.,0,88202,1974,,,
20000404,Vyyo Inc,VYYO,918458100,0,0,0,.,0,88204,1996,,,
20000405,Metropolitan Life Insurance Co,MET,59156R108,0,0,0,.,0,87842,1900,,,
20000406,GoAmerica Inc,GOAM,38020R106,0,1,0,.,1,88165,1996,,,
20000406,LivePerson Inc,LPSN,538146101,0,1,0,.,1,88174,1995,,,
20000406,Saba Software Inc,SABA,784932105,0,1,0,.,1,88193,1997,,,
20000406,Sangamo BioScience Inc,SGMO,800677106,0,1,0,.,0,88195,1995,,,
20000406,Tanox Inc,TNOX,87588Q109,0,1,0,.,0,88199,1986,,,
20000406,i3 Mobile Inc,IIIM,465713105,0,1,0,.,0,88169,1991,,,
20000407,Lexicon Genetics Inc,LEXG,528872104,0,1,0,.,0,88173,1995,,,
20000407,Numerical Technologies Inc,NMTC,67053T101,0,1,0,.,0,88178,1995,,,
20000407,Opus360 Corp,OPUS,68400F109,0,1,0,.,1,88184,1998,,,
20000410,Exelixis Inc,EXEL,30161Q104,0,1,0,.,0,88159,1994,,,
20000410,Nova Measuring Instruments,NVMI,M7516K103,0,1,0,.,0,88181,1993,,,
20000411,Asiacontent.com Ltd,IASIA,G05354108,0,1,0,.,1,88168,1997,,,
20000411,Bookham Technology PLC,BKHM,09856Q108,0,1,0,.,0,88149,-99,,,
20000411,DDi Corp,DDIC,233162106,0,0,0,.,0,88155,1978,,,
20000411,HealthStream Inc,HSTM,42222N103,0,1,0,.,1,88167,1990,,,
20000412,Corillian Corp,CORI,218725109,0,1,0,.,1,88153,1997,,,
20000412,Nuance Communications Inc,NUAN,669967101,0,1,0,.,0,88180,1994,,,
20000412,Sina.com,SINA,G81477104,0,1,0,.,1,88196,1993,,,
20000413,Votorantim Celulose e Papel SA,VCP,92906P106,0,0,0,.,0,87846,-99,,,
20000418,QS Communications AG,QSCG,74727G101,0,1,0,.,1,88191,1997,,,
20000419,360networks Inc,TSIX,88575T205,0,0,1,860140000,0,88201,1990,,,
20000419,Embarcadero Technologies Inc,EMBT,290787100,0,0,0,.,0,88157,1993,,,
20000419,PEC Solutions Inc,PECS,705107100,0,0,0,.,1,88187,1985,,,
20000419,Packard BioScience Co,PBSC,695172205,0,0,0,.,0,88186,1965,,,
20000420,Rockford Corp,ROFO,77316P101,0,0,0,.,0,88192,1973,,,
20000426,Metawave Communications,MTWV,591409107,0,1,0,.,0,88176,1995,,,
20000426,Praecis Pharmaceuticals Inc,PRCS,739421105,0,1,0,.,0,88190,1993,,,
20000426,Stratus Services Group Inc,SERV,863170106,0,0,0,.,0,88194,1997,,,
20000427,AT&T Wireless Group,AWE,001957406,0,0,1,2310000000,0,87831,1983,,,
20000427,ON Semiconductor,ONNN,783884109,0,0,0,.,0,88182,1967,,,
20000427,Software Technologies Corp,STCS,834040107,0,1,0,.,1,88198,1989,,,
20000501,Sonic Innovations Inc,SNCI,83545M109,0,1,0,.,0,88263,1991,,,
20000502,Virologic Inc,VLGC,92823R201,0,1,0,.,0,88271,1995,,,
20000502,WHEREVER.net Holdings Corp,WNET,96328M104,0,0,0,.,1,88272,1994,,,
20000503,Crown Media Holdings Inc,CRWN,228411104,0,0,1,60000000,0,88246,1991,,,
20000504,Orchid BioSciences Inc,ORCH,68571P100,0,1,0,.,0,88255,1995,,,
20000505,Genomic Solutions Inc,GNSL,37243R109,0,1,0,.,0,88346,1994,,,
20000505,Paradigm Genetics Inc,PDGM,69900R106,0,1,0,.,0,88256,1997,,,
20000512,Sequoia Software Corp,SQSW,817439102,0,1,0,.,1,88265,1992,,,
20000517,New Focus Inc,NUFO,644383101,0,1,0,.,0,88254,1990,,,
20000517,US Unwired Inc,UNWR,90338R104,0,0,0,.,0,88270,1967,,,
20000517,iBeam Broadcasting Corp,IBEM,45073P101,0,1,0,.,1,88251,1998,,,
20000518,Nogatech Inc,NGTC,654919109,0,1,0,.,0,88253,1993,,,
20000518,Pixelworks Inc,PXLW,72581M107,0,1,0,.,0,88260,1997,,,
20000519,Parthus Technologies PLC,PRTHV,70211Y103,0,0,0,.,0,88259,-99,,,
20000519,coolsavings.com inc,CSAV,216485102,0,0,0,.,1,88247,1994,,,
20000522,Integrated Circuit Systems Inc,ICST,45811K208,0,0,0,.,0,88275,1976,,,
20000523,Centillium Communications Inc,CTLM,152319109,0,1,0,.,1,88248,1997,,,
20000523,Universal Compression Holdings,UCO,913431102,0,0,0,.,0,88237,1954,,,
20000524,Sonus Networks Inc,SONS,835916107,0,1,0,.,1,88264,1997,,,
20000525,Stanford Microdevices Inc,SMDI,854399102,0,1,0,.,0,88262,1984,,,
20000530,NRG Energy Inc,NRG,629377102,0,0,0,.,0,88232,1989,,,
20000531,First Horizon Pharmaceutical,FHRX,32051K106,0,0,0,.,0,88249,1992,,,
20000531,ONI Systems Corp,ONIS,68273F103,0,1,0,.,1,88364,1997,,,
20000601,CrossWorlds Software Inc,CWLD,22769P109,0,1,0,.,1,88333,1996,,,
20000602,Exult Inc,EXLT,302284104,0,1,0,.,1,88342,1998,,,
20000607,Founders Food Firkins Ltd,,350551107,0,0,0,.,0,89102,-99,,,
20000607,Ubiquitel Inc,UPCS,903474302,0,1,0,.,0,88383,1999,,,
20000608,Community Health Systems Inc,CYH,203668108,0,0,0,.,0,88284,1996,,,
20000612,Take To Auction.com Inc,TTA,874052103,0,0,0,.,1,88316,1999,,,
20000613,Intuitive Surgical Inc,ISRG,46120E107,0,1,0,.,0,88352,1995,,,
20000613,Rediff.com India Ltd,REDF,757479100,0,1,0,.,1,88371,-99,,,
20000614,August Technology Corp,AUGT,05106U105,0,1,0,.,0,88324,1992,,,
20000614,Osca Inc(Great Lakes Chem),OSCA,687836106,0,0,0,.,0,88366,1979,,,
20000614,Pacific Mercantile Bancorp,PMBC,694552100,0,0,0,.,0,88368,1999,,,
20000615,Echapman.com Inc,ECMN,26830Q103,0,0,0,.,1,88337,1986,,,
20000616,China Unicom Ltd,CHU,16945R104,0,0,1,1218413000,0,88282,1994,,,
20000616,Dendreon Corp,DNDN,24823Q107,0,1,0,.,0,88335,1992,,,
20000620,Handspring Inc,HAND,410293104,0,1,0,.,0,88347,1998,,,
20000621,Cepheid,CPHD,15670R107,0,1,0,.,0,88331,1996,,,
20000622,Accelerated Networks Inc,ACCL,00429P107,0,1,0,.,1,88321,1996,,,
20000622,Clicksoftware Ltd,CKSW,M25082104,0,1,0,.,0,88330,1979,,,
20000623,Charles River Labs Int Inc,CRL,159864107,0,0,0,.,0,88281,1992,,,
20000623,Manufacturers Services,MSV,565005105,1,0,0,.,0,88308,1974,,,
20000623,Qualstar Corp,QBAK,74758R109,0,0,0,.,0,88370,1984,,,
20000626,Click Commerce Inc,CKCM,18681D109,0,1,0,.,1,88329,1996,,,
20000626,Marvell Technology Group Ltd,MRVL,G5876H105,0,1,0,.,0,88360,1995,,,
20000626,Stratos Lightwave Inc,STLW,863100103,0,0,0,.,0,88377,1946,,,
20000626,eFunds Corp,EFDS,28224R101,0,0,0,.,0,88338,1984,,,
20000627,BusyBox.com Inc,BUSY,123335101,0,0,0,.,1,88327,1995,,,
20000627,Genuity Inc,GENU,37248E103,0,0,1,973913000,1,88345,1995,,,
20000628,Accord Networks Ltd,ACCD,M01690102,0,1,0,.,0,88320,1992,,,
20000628,Capstone Turbine Corp,CPST,14067D102,0,1,0,.,0,88332,1988,,,
20000628,CareScience Inc,CARE,141726109,0,1,0,.,1,88328,1992,,,
20000628,Virage Inc,VRGE,92763Q106,0,1,0,.,1,88385,1994,,,
20000629,Exfo Electro Optical,EXFO,302043104,0,0,1,45707264,0,88340,1985,,,
20000629,Mobile Telesystems OJSC,MBT,607409109,0,0,0,.,0,88309,-99,,,
20000629,Precise Software Solutions Ltd,PRSE,M41450103,0,1,0,.,0,88369,1990,,,
20000629,Storagenetworks Inc,STOR,86211E103,0,1,0,.,1,88378,1998,,,
20000630,Mobility Electronics Inc,MOBE,60741U101,0,1,0,.,0,88359,1995,,,
20000630,Netease.com Inc,NTES,64110W102,0,0,1,30106000,1,88362,1997,,,
20000706,InfoVista SA,IVTA,456817105,0,1,0,.,0,88450,-99,,,
20000710,Axcelis Technologies Inc,ACLS,054540109,0,0,0,.,0,88417,1980,,,
20000710,Entegris Inc,ENTG,29362U104,0,0,0,.,0,88439,1966,,,
20000710,Turkcell Iletisim Hizmetleri,TKC,900111105,0,0,0,.,0,88411,-99,,,
20000711,ASAT Holdings Ltd,ASTT,00208B105,0,0,0,.,0,88422,1989,,,
20000711,Divine Interventures Inc,DVIN,255404105,0,1,1,137447453,1,88472,1999,,,
20000712,Sohu.com Inc,SOHU,83408W103,0,0,0,.,1,19675,1996,,,
20000712,Sunrise Telecom Inc,SRTI,86769Y105,0,0,0,.,1,88469,1991,,,
20000712,Triton Network Systems Inc,TNSI,896775103,0,1,0,.,1,88474,1997,,,
20000713,I Many Inc,IMNY,44973Q103,0,1,0,.,1,88448,1989,,,
20000713,Network Engines Inc,NENG,64121A107,0,1,0,.,1,88457,1989,,,
20000713,Pain Therapeutics Inc,PTIE,69562K100,0,1,0,.,0,88462,1998,,,
20000714,Omnivision Technologies Inc,OVTI,682128103,0,0,0,.,0,88458,1995,,,
20000718,Support.com Inc,SPRT,868587106,0,1,0,.,1,88468,1997,,,
20000718,Transgenomic Inc,TBIO,89365K206,0,1,0,.,0,88471,1988,,,
20000718,deCode Genetics Inc,DCGN,243586104,0,1,0,.,0,88432,1996,,,
20000719,Airspan Networks Inc,AIRN,00950H102,0,1,0,.,0,88419,1994,,,
20000719,Argonaut Technologies Inc,AGNT,040175101,0,1,0,.,0,88418,1994,,,
20000719,Vascular Solutions Inc,VASC,92231M109,0,1,0,.,0,88475,1996,,,
20000720,Corio Inc,CRIO,218875102,0,1,0,.,0,88431,1998,,,
20000720,Embraer,ERJ,29081M102,0,0,0,.,0,88392,-99,,,
20000720,SMTC Corp,SMRTC,832682108,0,1,0,.,0,88466,1985,,,
20000720,Talarian Corp,TALR,874090103,0,1,0,.,1,88470,1988,,,
20000721,Variagenics Inc,VGNX,922196100,0,1,0,.,0,88476,1992,,,
20000724,Blue Martini Software Inc,BLUE,095698106,0,1,0,.,1,88425,1998,,,
20000724,Evoke Communications Inc,EVOK,30048Q202,0,1,0,.,1,88440,1997,,,
20000725,Gemini Genomics PLC,GMNI,36865M109,0,0,0,.,0,88443,-99,,,
20000725,Interland Inc,ILND,458726106,0,1,0,.,1,88447,1997,,,
20000726,Applied Molecular Evolution,AMEV,03823E108,0,1,0,.,0,88420,1989,,,
20000726,TyCom Ltd(Tyco Intl Ltd),TCM,G9144B106,0,0,0,.,0,88415,1975,,,
20000727,Avici Systems Inc,AVCI,05367L109,0,1,0,.,0,88423,1996,,,
20000727,Corvis Corp,CORV,221009103,0,1,0,.,1,88430,1997,,,
20000727,Discovery Partners Int'l Inc,DPII,254675101,0,1,0,.,0,88434,1995,,,
20000727,Genencor International Inc,GCOR,368709101,0,0,0,.,0,88441,1982,,,
20000727,Illumina Inc,ILMN,452327109,0,1,0,.,0,88446,1998,,,
20000727,Lexent Inc,LXNT,52886Q102,0,1,0,.,1,88454,1998,,,
20000727,Mainspring Inc,MSPR,56062U100,0,1,0,.,1,88456,1996,,,
20000727,Rita Medical Systems Inc,RITA,76774E103,0,1,0,.,0,88463,1994,,,
20000727,ValiCert Inc,VLCT,91915Q105,0,1,0,.,1,88477,1996,,,
20000727,Webex Communications Inc,WEBX,94767L109,0,1,0,.,1,88478,1995,,,
20000728,Arena Pharmaceuticals Inc,ARNA,040047102,0,1,0,.,0,88421,1997,,,
20000728,Camtek Ltd,CAMT,M20791105,0,0,0,.,0,88427,1987,,,
20000728,Keryx Biopharmaceuticals Inc,KERX,492515101,0,0,0,.,0,88451,1997,,,
20000731,Convergent Group Corp,CVGP,21247V100,0,0,0,.,1,88512,1985,,,
20000731,Virage Logic Corp,VIRL,92763R104,0,1,0,.,0,88580,1995,,,
20000731,Western Multiplex Corp,WMUX,95874P107,0,0,0,.,0,88585,1979,,,
20000801,Floware Wireless Systems Ltd,FLRE,M45919103,0,0,0,.,1,88524,1995,,,
20000801,Genaissance Pharmaceuticals,GNSC,36867W105,0,1,0,.,0,88527,1992,,,
20000801,Speechworks International Inc,SPWX,84764M101,0,1,0,.,0,88569,1994,,,
20000801,Tripath Technology Inc,TRPH,89672P104,0,1,0,.,0,88573,1995,,,
20000802,California Pizza Kitchen Inc,CPKI,13054D109,0,0,0,.,0,88510,1985,,,
20000802,Deltagen Inc,DGEN,24783R103,0,1,0,.,0,88515,1997,,,
20000802,Entravision Communications,EVC,29382R107,0,0,1,107400000,0,88485,1996,,,
20000802,Opnet Technologies Inc,OPNT,683757108,0,1,0,.,0,88550,1986,,,
20000802,Resonate Inc,RSNT,76115Q104,0,1,0,.,1,88562,1995,,,
20000802,ScreamingMedia Inc,SCRM,810883108,0,1,0,.,1,88565,1993,,,
20000802,SignalSoft Corp,SGSF,82668M102,0,1,0,.,0,88566,1995,,,
20000802,Versicor Inc,VERS,925314106,0,1,0,.,0,88578,1995,,,
20000802,eRoom System Technologies Inc,ERMS,296016108,0,0,0,.,0,88520,1993,,,
20000802,iAsia Works Inc,IAWK,45072L101,0,1,0,.,1,88530,1995,,,
20000803,3-Dimensional Pharmaceuticals,DDDP,88554W104,0,1,0,.,0,88514,1993,,,
20000803,Crosswave Communications Inc,CWCI,227686102,0,0,0,.,0,88513,1998,,,
20000803,Innovative Solns & Support Inc,ISSC,45769N105,0,1,0,.,0,88534,1988,,,
20000803,Inspire Pharmaceuticals Inc,ISPH,457733103,0,1,0,.,0,88532,1993,,,
20000803,Rosetta Inpharmatics Inc,RSTA,777777103,0,1,0,.,0,88563,1996,,,
20000804,Bruker Daltonics Inc,BDAL,116795105,0,0,0,.,0,88504,1991,,,
20000804,Ceragon Networks Ltd,CRNT,M22013102,0,1,0,.,0,88526,1996,,,
20000804,EXE Technologies Inc,EXEE,301504106,0,1,0,.,0,88523,1997,,,
20000804,Lantronix Inc,LTRX,516548104,0,0,0,.,0,88542,1989,,,
20000804,Microtune Inc,TUNE,59514P109,0,1,0,.,0,88575,1996,,,
20000807,Active Power Inc,ACPW,00504W100,0,1,0,.,0,88497,1992,,,
20000807,Advanced Power Technology Inc,APTI,00761E108,0,1,0,.,0,88501,1984,,,
