Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Underpriced
1752683D,First Connecticut Bancorp Inc/,12.2,17.2,0.6,171.925,17.8802,10.0,10.80000019,178.8,6/30/2011,319850103,1.4,171.925,17.8802,0.356508,57936.0,10-Oct,Priced Within Range,3.0,9.0,10.0,0
1811045D,Blue Buffalo Pet Products Inc,10.8,15.1,25.8,778.126,196.034,20.0,36.0,3920.68,7/22/2015,09531U102,0.9,778.126,196.034,0.669169,1309190.0,16 - 18,Priced Above Range,0.0,10.0,11.0,1
1812209D,Match Group Inc/old,24.7,9.3,8.8,460.0,38.3333,12.0,22.83333397,400.0,11/19/2015,57665R106,3.5,460.0,38.3333,52.3671,38868900.0,14-Dec,Priced Within Range,4.0,8.0,9.0,0
1816375D,Caesars Holdings Inc,4.1,-13.6,-3.0,18.747,125.026,9.0,71.0,1125.23,2/8/2012,127686103,1.4,18.747,125.026,14.3566,98203600.0,10-Aug,Priced Within Range,5.0,11.0,12.0,0
1817382D,DCT Industrial Trust Inc,8.0,24.3,3.0,199.675,168.355,12.25,0.816326559,2062.35,12/13/2006,233153204,2.6,199.675,168.355,1.01302,954305.0,11.50 - 12.50,Priced Within Range,3.0,3.0,13.0,0
1824551D,Alterra Mountain Co,-2.8,7.1,3.0,215.626,45.007,12.0,-0.833333314,540.08,1/31/2014,46090K109,1.5,215.626,45.007,0.0355024,14138.0,15 - 17,Priced Below Range,5.0,12.0,14.0,0
1832555D,Array BioPharma Inc,15.1,-84.7,-23.7,48.75,21.3674,7.5,16.66666603,160.26,11/17/2000,04269X105,-0.6,48.75,21.3674,11.0815,24722300.0,11-Sep,Priced Below Range,0.0,13.0,15.0,0
1850925D,VCA Inc,17.9,8.3,6.4,173.7,34.2162,10.0,-6.599999905,342.16,11/20/2001,918194101,4.8,173.7,34.2162,0.0445381,36196.0,14-Dec,Priced Below Range,0.0,13.0,16.0,0
1851869D,Northeast Midstream Partners L,8.8,40.6,2.2,422.625,34.5978,21.0,25.76190567,726.554,10/15/2014,257454108,2.2,422.625,34.5978,106.057,134276000.0,19 - 21,Priced Within Range,2.0,2.0,2.0,0
1856613D,Monsanto Co,8.4,15.4,11.3,700.0,255.0,20.0,20.0,5100.0,10/18/2000,61166W101,7.3,700.0,255.0,0.683214,3014920.0,21 - 24,Priced Below Range,6.0,14.0,17.0,0
1858847D,Alta Equipment Group Inc,38.8,-1.7,0.4,143.75,14.8,10.0,0.0,148.0,4/9/2019,05586Y205,0.9,143.75,14.8,13.5652,1950000.0,10-Oct,Priced Within Range,0.0,7.0,18.0,0
1865332D,TerraForm Global Inc,72.6,-24.7,-2.9,675.0,117.506,15.0,-6.666666508,1762.59,7/31/2015,88104M101,-0.1,675.0,117.506,0.0814305,91284.0,15 - 15,Priced Within Range,2.0,15.0,19.0,0
1866419D,Golden Nugget Online Gaming In,40.7,62.0,36.4,316.25,31.625,10.0,0.100000002,316.25,5/7/2019,51476X204,-1.3,316.25,31.625,12.0816,3820800.0,10-Oct,Priced Within Range,5.0,16.0,20.0,0
1875234D,Custom Truck One Source Inc,285.5,-15.5,-0.5,402.5,40.25,10.0,0.200000003,402.5,8/16/2017,N.A.,0.5,402.5,40.25,0.609906,306859.0,10-Oct,Priced Within Range,0.0,7.0,18.0,0
1885525D,VeriFone Systems Inc,-6.0,-9.2,-3.2,177.1,65.0548,10.0,7.5,650.55,4/29/2005,92342Y109,1.4,177.1,65.0548,0.612901,678724.0,10-Oct,Priced Within Range,1.0,1.0,21.0,0
1885807D,athenahealth Inc,12.6,4.3,8.7,130.137,31.6004,18.0,97.22222137,568.81,9/20/2007,04685W103,6.0,130.137,31.6004,3.08518,1270420.0,14 - 16,Priced Above Range,1.0,5.0,22.0,1
1888299D,Advisory Board Co/The,4.5,11.3,3.5,109.25,12.2439,19.0,27.63157845,232.63,11/13/2001,00762W107,2.7,109.25,12.2439,0.069886,28484.8,17 - 19,Priced Within Range,0.0,7.0,8.0,0
1898133D,Body Central Corp,-8.8,-14.9,-68.1,74.75,16.1557,13.0,0.0,210.02,10/15/2010,09689U201,-8.3,74.75,16.1557,0.352807,5850.0,14 - 16,Priced Below Range,5.0,17.0,23.0,0
1899263D,Instructure Inc,23.3,-31.2,-25.2,80.96,27.1956,16.0,12.5,435.13,11/13/2015,45781U103,0.5,80.96,27.1956,24.669,9439140.0,16 - 18,Priced Within Range,1.0,5.0,24.0,0
1899786D,Intact Insurance Group USA Hol,0.6,8.9,1.8,690.0,24.0,25.0,4.039999962,600.0,11/9/2006,N.A.,0.5,690.0,24.0,0.0360645,8290.0,24 - 26,Priced Within Range,3.0,18.0,25.0,0
1901329D,Advantage Solutions Inc,14.1,1.5,1.2,450.0,45.0,10.0,2.299999952,450.0,7/18/2019,212896203,0.4,450.0,45.0,19.4264,10927300.0,10-Oct,Priced Within Range,4.0,19.0,26.0,0
1903130D,Regal Entertainment Group,-1.0,3.5,4.0,393.3,130.782,19.0,14.47368431,2484.86,5/9/2002,758766109,2.6,393.3,130.782,1.15411,1538520.0,16 - 18,Priced Above Range,5.0,16.0,27.0,1
1903510D,SI Financial Group Inc,6.5,16.9,0.6,39.1,0.0,10.0,12.0,0.0,10/1/2004,78425V104,1.7,39.1,0.0,0.50875,61224.0,10-Oct,Priced Within Range,3.0,20.0,28.0,0
1910505D,Organogenesis Holdings Inc,38.3,20.2,18.0,310.0,31.0,10.0,-1.399999976,310.0,10/11/2016,N.A.,0.4,310.0,31.0,10.7874,3971120.0,10-Oct,Priced Within Range,0.0,21.0,29.0,0
1913362D,Allied Esports Entertainment I,54.3,1268.4,73.2,138.0,0.0,10.0,1.5,0.0,10/5/2017,09216T206,-0.2,138.0,0.0,3.32964,1305870.0,10-Oct,Priced Within Range,5.0,16.0,30.0,0
1914858D,NeuStar Inc,15.2,13.9,9.0,695.75,56.1628,22.0,18.18181801,1235.58,6/29/2005,64126X201,6.1,695.75,56.1628,0.0388847,21762.0,18 - 20,Priced Above Range,1.0,1.0,31.0,1
1917130D,BioTelemetry Inc,9.9,6.8,2.5,82.764,23.0439,18.0,-1.666666627,414.79,3/19/2008,90672106,1.9,82.764,23.0439,27.8203,9545380.0,18 - 20,Priced Within Range,0.0,22.0,32.0,0
1917559D,Papa Murphy's Holdings Inc,-14.8,3.4,1.8,63.8,16.9657,11.0,0.454545468,186.62,5/2/2014,698814100,0.6,63.8,16.9657,12.8835,2193990.0,13-Nov,Priced Within Range,5.0,17.0,33.0,0
1918511D,Aerohive Networks Inc,0.8,-11.8,-16.6,86.25,44.7316,10.0,0.0,447.32,3/28/2014,7786106,0.2,86.25,44.7316,10.2729,5899170.0,11-Sep,Priced Within Range,4.0,23.0,34.0,0
1919709D,IHS Inc,5.0,11.0,3.9,267.076,43.3193,16.0,6.875,693.11,11/11/2005,451734107,8.9,267.076,43.3193,0.174296,117567.0,14.50 - 16.50,Priced Within Range,1.0,1.0,31.0,0
1933924D,Civitas Solutions Inc,8.6,0.9,1.3,198.9,36.95,17.0,-2.294117689,628.15,9/17/2014,17887R102,2.9,198.9,36.95,0.293841,106685.0,20 - 23,Priced Below Range,0.0,0.0,35.0,0
1934798D,Dermira Inc,832.3,-523.2,-50.1,125.0,19.3224,16.0,-2.8125,309.659,10/3/2014,24983L104,-5.0,125.0,19.3224,21.3459,11675200.0,14 - 16,Priced Within Range,0.0,13.0,36.0,0
1940857D,Fogo De Chao Inc,9.0,9.1,5.4,101.472,27.9148,20.0,28.75,558.296,6/19/2015,344177100,1.9,101.472,27.9148,1.30596,368996.0,16 - 18,Priced Above Range,5.0,17.0,33.0,1
1990344D,Alcentra Capital Corp,-13.1,19.0,2.8,100.001,12.7668,15.0,0.333333343,191.5,5/9/2014,01374T102,5.7,100.001,12.7668,20.923,2693960.0,15 - 15,Priced Within Range,3.0,24.0,37.0,0
1998018D,Bellring Intermediate Holdings,26.1,2.2,4.3,552.0,39.4286,14.0,17.8571434,552.0,10/17/2019,79823100,5.7,552.0,39.4286,0.598184,232621.0,16 - 19,Priced Below Range,0.0,10.0,11.0,0
2041013D,PLBY Group Inc,66.9,-31.5,-11.5,57.498,6.0713,10.0,0.400000006,60.713,6/5/2020,62401M205,-0.9,57.498,6.0713,8.75021,659984.0,10-Oct,Priced Within Range,5.0,25.0,38.0,0
2060389D,Fortress Investment Group LLC,-4.1,8.1,8.5,729.435,89.3575,18.5,67.56756592,1653.11,2/9/2007,34958B106,1.1,729.435,89.3575,0.0138557,30400.0,16.50 - 18.50,Priced Within Range,3.0,26.0,39.0,0
2072499D,American Midstream Partners LP,23.6,-0.9,-0.3,78.75,4.5261,21.0,-0.238095239,95.05,7/27/2011,02752P100,0.1,78.75,4.5261,0.572225,311584.0,19 - 21,Priced Within Range,7.0,27.0,40.0,0
2083506D,OncoMed Pharmaceuticals Inc,16.4,-18.2,-9.2,93.84,27.7875,17.0,59.88235474,472.39,7/18/2013,68234X102,-1.1,93.84,27.7875,0.0667742,25835.0,14 - 16,Priced Above Range,0.0,21.0,29.0,1
2157768D,ExOne Co/The,11.2,-25.1,-14.2,109.71,13.2816,18.0,47.33333206,239.07,2/7/2013,302104104,-0.7,109.71,13.2816,11.5305,2582980.0,16 - 18,Priced Within Range,1.0,1.0,41.0,0
2177859D,Biohaven Pharmaceutical Holdin,626.9,-183.0,-83.2,193.545,35.7156,17.0,2.941176414,607.165,5/4/2017,N.A.,-12.8,193.545,35.7156,85.2592,61084000.0,14 - 16,Priced Above Range,0.0,21.0,29.0,1
2192176D,Bankrate Inc,16.7,-7.8,-2.0,344.917,100.0,15.0,2.266666651,1500.0,6/17/2011,06647F102,0.8,344.917,100.0,0.00733824,6582.0,14 - 16,Priced Within Range,4.0,8.0,9.0,0
2982007Q,TheraSense Inc,19.2,-2.2,-2.9,131.1,38.0898,19.0,31.15789413,723.71,10/12/2001,883381105,0.5,131.1,38.0898,0.000939699,400.0,18 - 20,Priced Within Range,0.0,22.0,42.0,0
3610748Q,Encore Acquisition Co,-39.6,-11.8,-2.2,100.1,30.03,14.0,3.928571463,420.42,3/8/2001,29255W100,14.1,100.1,30.03,0.228084,127700.0,13 - 15,Priced Within Range,2.0,28.0,43.0,0
9123456D,Williams Partners LP/Old,-8.6,15.9,4.2,123.625,7.0,21.5,18.6046505,150.5,8/18/2005,96950F104,4.9,123.625,7.0,0.00041462,1823.11,19 - 21,Priced Above Range,2.0,2.0,2.0,1
9966611D,Antero Midstream Partners LP,33.1,56.9,17.7,1150.0,81.941,25.0,12.11999989,2048.53,11/5/2014,03673L103,3.5,1150.0,81.941,0.0467063,87495.0,19 - 21,Priced Above Range,2.0,28.0,43.0,1
9966911D,Cadence BanCorp,2.7,-22.1,2.5,172.5,83.625,20.0,7.75,1672.5,4/13/2017,12739A100,4.0,172.5,83.625,1.5793,1933000.0,19 - 21,Priced Within Range,3.0,9.0,44.0,0
9990616D,ReShape Lifesciences Inc/CA,-25.1,-191.4,-48.8,43.9188,16.7989,8.0,0.0,134.39,11/15/2007,761123603,-1.2,43.9188,16.7989,91.5776,5647180.0,9-Aug,Priced Within Range,0.0,7.0,45.0,0
9990620D,Grubhub Inc/old,38.7,-8.5,-7.9,221.426,78.3858,26.0,30.76922989,2038.03,4/4/2014,400110102,1.4,221.426,78.3858,2.23064,2082250.0,23 - 25,Priced Above Range,4.0,8.0,9.0,1
9992011D,FTS International Inc,-66.1,-14.3,18.7,403.65,109.275,18.0,14.5,1966.95,2/2/2018,30283W203,-3.1,403.65,109.275,50.5685,2721010.0,15 - 18,Priced Within Range,2.0,29.0,46.0,0
9998522D,Primo Water Operations Inc,4.8,0.8,1.2,114.96,20.274,12.0,7.916666508,243.29,11/5/2010,74165N105,0.8,114.96,20.274,48.5249,19166800.0,13-Nov,Priced Within Range,0.0,30.0,47.0,0
9998865D,Whiting Petroleum Corp,98.1,27.9,16.0,267.375,18.738,15.5,4.967741966,290.44,11/20/2003,966387409,18.9,267.375,18.738,103.278,39298600.0,14 - 16,Priced Within Range,2.0,28.0,43.0,0
AACH,AAC Holdings Inc,-6.8,-20.0,-19.8,86.25,20.9233,15.0,23.33333397,313.849,10/2/2014,307108,-1.2,86.25,20.9233,7.18717,1808130.0,14-Dec,Priced Above Range,0.0,0.0,48.0,1
AAOI,Applied Optoelectronics Inc,-9.8,-25.6,-13.8,41.4,13.1496,10.0,-0.400000006,131.5,9/26/2013,03823U102,-0.4,41.4,13.1496,43.5371,12418400.0,13 - 15,Priced Below Range,8.0,31.0,49.0,0
AAT,American Assets Trust Inc,9.0,9.7,1.7,648.312,36.66,20.5,3.658536673,751.53,1/13/2011,24013104,2.8,648.312,36.66,92.4327,55947800.0,19 - 21,Priced Within Range,3.0,3.0,50.0,0
ABG,Asbury Automotive Group Inc,37.9,5.4,13.7,127.05,34.0,16.5,1.818181872,561.0,3/14/2002,43436104,58.4,127.05,34.0,113.082,25028500.0,15 - 17,Priced Within Range,5.0,17.0,51.0,0
ABNB,Airbnb Inc,77.3,-5.8,10.9,3830.0,103.683,68.0,112.8088226,7050.44,12/10/2020,9066101,3.5,3830.0,103.683,68.7472,273783000.0,56 - 60,Priced Above Range,4.0,8.0,9.0,1
ABR,Arbor Realty Trust Inc,32.3,42.4,2.2,135.874,14.9496,20.0,2.5,298.99,4/7/2004,38923108,1.5,135.874,14.9496,42.1671,72326500.0,19 - 21,Priced Within Range,3.0,3.0,6.0,0
ABTX,Allegiance Bancshares Inc,4.7,34.3,1.1,62.79,12.813,21.0,10.09523773,260.883,10/8/2015,01748H107,5.3,62.79,12.813,62.0364,12382600.0,22 - 24,Priced Below Range,3.0,9.0,44.0,0
ACAD,ACADIA Pharmaceuticals Inc,9.6,-34.6,-32.9,35.0,16.8457,7.0,-4.285714149,117.92,5/27/2004,4225108,-0.7,35.0,16.8457,99.0587,160407000.0,14-Dec,Priced Below Range,0.0,21.0,29.0,0
ACC,American Campus Communities In,8.2,3.7,0.9,220.763,12.1,17.5,0.0,211.75,8/12/2004,24835100,2.4,220.763,12.1,30.883,43076600.0,19 - 21,Priced Below Range,3.0,3.0,3.0,0
ACCD,Accolade Inc,81.9,-39.7,-36.4,253.574,48.7887,22.0,35.0,1073.35,7/2/2020,4.37E+104,-0.9,253.574,48.7887,84.4306,60738500.0,19 - 21,Priced Above Range,0.0,0.0,52.0,1
ACET,Adicet Bio Inc,-45.6,-637.1,-18.2,97.7505,28.0463,15.0,12.53333378,420.695,1/26/2018,7002108,-1.6,97.7505,28.0463,97.4117,41742200.0,14 - 16,Priced Within Range,0.0,21.0,29.0,0
ACI,Albertsons Cos Inc,3.1,2.2,6.0,800.0,479.027,16.0,-3.4375,7664.43,6/26/2020,13091103,7.4,800.0,479.027,83.2054,445204000.0,18 - 20,Priced Below Range,0.0,10.0,53.0,0
ACIA,Acacia Communications Inc,25.5,15.4,11.4,119.025,35.7266,23.0,34.56521606,821.712,5/13/2016,00401C108,3.1,119.025,35.7266,30.8273,13142200.0,21 - 23,Priced Within Range,4.0,23.0,34.0,0
ACLS,Axcelis Technologies Inc,39.5,14.8,20.2,375.1,97.05,22.0,8.806818008,2135.1,7/11/2000,54540208,4.4,375.1,97.05,92.5295,30394700.0,20 - 22,Priced Within Range,1.0,4.0,54.0,0
ACM,AECOM,0.7,1.3,2.5,808.45,97.6077,20.0,5.5,1952.15,5/10/2007,00766T100,5.0,808.45,97.6077,90.9836,127058000.0,18 - 20,Priced Within Range,8.0,32.0,55.0,0
ACMR,ACM Research Inc,65.8,14.5,5.3,12.5048,12.9355,5.6,8.035716057,72.4388,11/3/2017,00108J109,-0.7,12.5048,12.9355,82.882,45065900.0,7.50 - 9.50,Priced Below Range,1.0,4.0,54.0,0
ACOR,Acorda Therapeutics Inc,-15.6,-80.5,-24.5,36.4537,19.6226,6.0,12.0,117.74,2/10/2006,00484M601,-3.8,36.4537,19.6226,35.8607,8727700.0,7-Jun,Priced Within Range,0.0,21.0,29.0,0
ACRE,Ares Commercial Real Estate Co,13.0,39.7,1.7,142.45,9.235,18.5,-2.702702761,170.85,4/26/2012,04013V108,1.1,142.45,9.235,51.7759,28188200.0,19 - 20,Priced Below Range,3.0,3.0,6.0,0
ACRS,Aclaris Therapeutics Inc,4.3,-1343.9,-30.9,63.25,20.1575,11.0,0.454545468,221.732,10/7/2015,00461U105,-0.9,63.25,20.1575,105.571,70398100.0,14 - 16,Priced Below Range,0.0,13.0,15.0,0
ACRX,AcelRx Pharmaceuticals Inc,-47.9,-1245.5,67.3,40.0,19.372,5.0,-9.0,96.86,2/11/2011,00444T209,-5.0,40.0,19.372,21.859,1628350.0,5-May,Priced Within Range,0.0,13.0,15.0,0
ADMA,ADMA Biologics Inc,91.7,-88.5,-27.6,28.4996,9.2239,8.5,0.588235319,78.4,10/17/2013,899104,-0.8,28.4996,9.2239,85.5999,168441000.0,8.50 - 9.50,Priced Within Range,0.0,21.0,29.0,0
ADMS,Adamas Pharmaceuticals Inc,36.2,-77.0,-45.3,48.0,16.423,16.0,-12.4375,262.77,4/10/2014,00548A106,-1.7,48.0,16.423,7.6299,3493500.0,16 - 18,Priced Within Range,0.0,13.0,15.0,0
ADPT,Adaptive Biotechnologies Corp,56.8,-134.3,-23.6,345.0,123.224,20.0,101.5,2464.48,6/27/2019,00650F109,-1.3,345.0,123.224,96.5751,138114000.0,18 - 19,Priced Above Range,0.0,22.0,32.0,1
ADPTQ,Adeptus Health Inc,73.0,3.6,12.6,123.97,9.8397,22.0,17.04545403,216.47,6/25/2014,6855100,1.0,123.97,9.8397,0.725188,118899.0,19 - 22,Priced Within Range,0.0,0.0,56.0,0
ADSW,Advanced Disposal Services Inc,4.1,-0.4,0.00849473,398.475,86.631,18.0,11.11111069,1559.36,10/6/2016,00790X101,3.1,398.475,86.631,47.2815,42911900.0,18 - 21,Priced Within Range,8.0,33.0,57.0,0
ADT,ADT Inc,-0.1,-6.4,-0.2,1470.0,748.949,14.0,-11.5,10485.3,1/19/2018,00090Q103,2.0,1470.0,748.949,93.666,804331000.0,17 - 19,Priced Below Range,0.0,7.0,58.0,0
ADUS,Addus HomeCare Corp,13.0,5.2,4.7,54.0,10.4963,10.0,-15.10000038,104.96,10/28/2009,6739106,2.5,54.0,10.4963,109.328,17613100.0,13-Nov,Priced Below Range,0.0,0.0,35.0,0
AEI,Alset Inc,21.9,-521.8,-71.8,15.12,8.56,7.0,-0.285714299,59.92,11/24/2020,02115D109,-0.6,15.12,8.56,4.11907,6117120.0,7-Jun,Priced Within Range,3.0,34.0,59.0,0
AEL,American Equity Investment Lif,9.0,11.7,1.6,186.3,33.294,9.0,0.555555582,299.65,12/4/2003,25676206,45.1,186.3,33.294,104.308,89394000.0,10-Sep,Priced Within Range,3.0,18.0,60.0,0
AERI,Aerie Pharmaceuticals Inc,133.5,-38.5,-10.0,77.28,23.2137,10.0,6.099999905,232.14,10/25/2013,00771V108,-2.1,77.28,23.2137,106.964,52858800.0,14-Dec,Priced Below Range,0.0,13.0,15.0,0
AFFMQ,Affirmative Insurance Holdings,-41.6,-22.4,-10.0,131.537,16.0919,14.0,0.142857149,225.29,7/9/2004,8272106,-3.3,131.537,16.0919,0.242334,39150.0,16 - 18,Priced Below Range,3.0,18.0,25.0,0
AFFY,Affymax Inc,-98.5,-1053.6,20.5,106.375,14.0138,25.0,35.52000046,350.34,12/15/2006,00826A109,-1.8,106.375,14.0138,0.00133369,500.0,22 - 24,Priced Above Range,0.0,21.0,29.0,1
AFIB,Acutus Medical Inc,103.9,-681.7,-67.4,182.646,26.1073,18.0,47.22222137,469.931,8/6/2020,5111109,-3.4,182.646,26.1073,61.6562,17542600.0,16 - 18,Priced Within Range,0.0,22.0,61.0,0
AGEN,Agenus Inc,235.3,-8.0,-49.5,63.0,23.7159,18.0,240.972229,426.886,2/3/2000,00847G705,0.044317,63.0,23.7159,53.8234,164060000.0,14 - 16,Priced Above Range,0.0,21.0,29.0,1
AGNC,AGNC Investment Corp,82.0,82.1,-2.7,200.0,15.0046,20.0,-3.25,300.09,5/15/2008,00123Q104,2.9,200.0,15.0046,47.2064,269842000.0,20 - 20,Priced Within Range,3.0,3.0,6.0,0
AGRX,Agile Therapeutics Inc,447.5,-1826.2,-243.0,55.0002,18.5921,6.0,-7.666666508,111.55,5/23/2014,00847L209,-26.8,55.0002,18.5921,13.8834,5638670.0,6-Jun,Priced Within Range,0.0,13.0,15.0,0
AGS,PlayAGS Inc,55.5,-8.6,-2.7,188.6,35.1663,16.0,15.625,562.661,1/26/2018,72814N104,2.1,188.6,35.1663,86.9767,32841700.0,16 - 18,Priced Within Range,1.0,1.0,41.0,0
AGTC,Applied Genetic Technologies C,-35.0,-21213.2,-71.2,57.5004,14.0208,12.0,23.0,168.25,3/27/2014,03820J100,-1.4,57.5004,14.0208,32.0574,21681200.0,13 - 15,Priced Below Range,0.0,21.0,29.0,0
AHGP,Alliance Holdings GP LP,-7.0,10.3,10.5,312.5,59.863,25.0,0.0,1496.58,5/10/2006,01861G100,9.2,312.5,59.863,0.0232982,13947.0,23 - 25,Priced Within Range,2.0,35.0,62.0,0
AHH,Armada Hoffler Properties Inc,-25.9,8.9,2.2,218.543,17.2288,11.5,0.695652187,198.13,5/8/2013,04208T108,1.5,218.543,17.2288,92.0829,62367600.0,13-Nov,Priced Within Range,3.0,3.0,50.0,0
AHT,Ashford Hospitality Trust Inc,58.4,-33.1,-3.9,218.107,23.957,9.0,0.0,215.61,8/26/2003,44103869,-6.6,218.107,23.957,39.4402,13606500.0,11-Sep,Priced Within Range,3.0,3.0,63.0,0
AI,C3.ai Inc,37.9,-75.9,-19.4,748.65,95.1556,42.0,120.2142868,3996.54,12/9/2020,12468P104,-0.8,748.65,95.1556,36.4372,38252300.0,36 - 38,Priced Above Range,1.0,5.0,5.0,1
AIMC,Altra Industrial Motion Corp,10.0,1.4,0.4,155.25,23.0876,13.5,5.85185194,311.68,12/15/2006,02208R106,3.3,155.25,23.0876,104.972,68409400.0,14 - 16,Priced Below Range,8.0,36.0,64.0,0
AIRG,Airgain Inc,32.5,-15.6,-18.2,12.0,7.2376,8.0,0.0,57.9008,8/12/2016,00938A104,-1.1,12.0,7.2376,57.1084,5838500.0,10-Sep,Priced Below Range,4.0,23.0,34.0,0
AIZ,Assurant Inc,6.1,13.4,0.9,2024.0,145.072,22.0,12.27272701,3191.58,2/5/2004,04621X108,13.2,2024.0,145.072,109.471,57835000.0,20 - 22,Priced Within Range,3.0,18.0,25.0,0
AJX,Great Ajax Corp,-5.7,43.7,0.0371016,74.4776,15.207,14.25,-1.754385948,213.472,2/13/2015,38983D300,-0.6,74.4776,15.207,74.1641,16978100.0,15 - 17,Priced Below Range,3.0,3.0,6.0,0
AKAOQ,Achaogen Inc,-21.9,-2136.9,-133.5,82.8,17.6806,12.0,19.16666603,212.17,3/12/2014,4449104,-3.6,82.8,17.6806,0.58462,373455.0,14-Dec,Priced Within Range,0.0,13.0,15.0,0
AKBA,Akebia Therapeutics Inc,-27.6,-132.4,-29.9,114.937,20.147,17.0,57.02941132,342.5,3/20/2014,00972D105,-1.5,114.937,20.147,39.8157,73245700.0,14 - 17,Priced Within Range,0.0,13.0,65.0,0
AKCA,Akcea Therapeutics Inc,653.1,8.3,-8.6,143.75,66.5417,8.0,18.5,532.334,7/14/2017,00972L107,2.4,143.75,66.5417,0.0655093,66567.6,14-Dec,Priced Below Range,0.0,13.0,15.0,0
AL,Air Lease Corp,3.6,20.9,-0.3,922.876,93.8468,26.5,5.471698284,2486.94,4/19/2011,00912X302,12.0,922.876,93.8468,105.795,117318000.0,25 - 28,Priced Within Range,3.0,26.0,66.0,0
ALBO,Albireo Pharma Inc,388.4,-83.8,-42.4,86.25,20.1608,15.0,20.0,302.41,5/11/2007,01345P106,-5.6,86.25,20.1608,102.784,21277600.0,14 - 16,Priced Within Range,0.0,21.0,29.0,0
ALEC,Alector Inc,881.5,-17.5,-16.1,185.051,68.8545,19.0,-5.263157845,1308.24,2/7/2019,14442107,3.7,185.051,68.8545,82.0064,67820600.0,18 - 20,Priced Within Range,0.0,13.0,15.0,0
ALGM,Allegro MicroSystems Inc,30.0,15.5,13.3,402.5,189.432,14.0,26.4285717,2652.05,10/29/2020,01749D105,0.8,402.5,189.432,50.5858,96774700.0,14-Dec,Priced Within Range,1.0,4.0,54.0,0
ALGN,Align Technology Inc,59.9,19.5,8.8,138.173,45.6157,13.0,33.17307663,593.0,1/26/2001,16255101,14.8,138.173,45.6157,95.3796,74503300.0,14 - 16,Priced Below Range,0.0,22.0,61.0,0
