Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Month/Date,Month of Quarter,Real GDP Per Capita,OECD Leading Indicator,Interest Rate,Seasonally Adjusted Unemployment Rate,CPI Growth Rate,Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Underpriced
1811045D,Blue Buffalo Pet Products Inc,10.8,15.1,25.8,778.126,196.034,20,36,3920.68,7/22/15,09531U102,0.9,778.126,196.034,0.669169,1309190,7/1/15,7/1/15,54081.00,99.98278579,0.75,5.338603251,0.006704716,16 - 18,Priced Above Range,0,10,11,1
1812209D,Match Group Inc/old,24.7,9.3,8.8,460,38.3333,12,22.83333397,400,11/19/15,57665R106,3.5,460,38.3333,52.3671,38868900,11/1/15,10/1/15,54045.00,99.41157201,0.75,5.199007422,-0.211068038,14-Dec,Priced Within Range,4,8,9,1
1816375D,Caesars Holdings Inc,4.1,-13.6,-3,18.747,125.026,9,71,1125.23,2/8/12,127686103,1.4,18.747,125.026,14.3566,98203600,2/1/12,1/1/12,51559.00,99.86369756,0.75,8.372612628,0.440297355,10-Aug,Priced Within Range,5,11,12,1
1817382D,DCT Industrial Trust Inc,8,24.3,3,199.675,168.355,12.25,0.816326559,2062.35,12/13/06,233153204,2.6,199.675,168.355,1.01302,954305,12/1/06,10/1/06,51455.00,101.3989179,6.25,4.52174096,0.148883375,11.50 - 12.50,Priced Within Range,3,3,13,1
1824551D,Alterra Mountain Co,-2.8,7.1,3,215.626,45.007,12,-0.833333314,540.08,1/31/14,46090K109,1.5,215.626,45.007,0.0355024,14138,1/1/14,1/1/14,52266.00,100.6279112,0.75,6.630940345,0.372024767,15 - 17,Priced Below Range,5,12,14,0
1832555D,Array BioPharma Inc,15.1,-84.7,-23.7,48.75,21.3674,7.5,16.66666603,160.26,11/17/00,04269X105,-0.6,48.75,21.3674,11.0815,24722300,11/1/00,10/1/00,46777.00,99.51633574,6,3.978895765,0.057471264,11-Sep,Priced Below Range,0,13,15,1
1850925D,VCA Inc,17.9,8.3,6.4,173.7,34.2162,10,-6.599999905,342.16,11/20/01,918194101,4.8,173.7,34.2162,0.0445381,36196,11/1/01,10/1/01,46400.00,98.44499123,1.58,5.610148971,-0.16882386,14-Dec,Priced Below Range,0,13,16,0
1851869D,Northeast Midstream Partners L,8.8,40.6,2.2,422.625,34.5978,21,25.76190567,726.554,10/15/14,257454108,2.2,422.625,34.5978,106.057,134276000,10/1/14,10/1/14,53464.00,100.8195993,0.75,5.895838862,-0.251227781,19 - 21,Priced Within Range,2,2,2,1
1856613D,Monsanto Co,8.4,15.4,11.3,700,255,20,20,5100,10/18/00,61166W101,7.3,700,255,0.683214,3014920,10/1/00,10/1/00,46777.00,99.82727924,6,3.921346643,0.172711572,21 - 24,Priced Below Range,6,14,17,1
1858847D,Alta Equipment Group Inc,38.8,-1.7,0.4,143.75,14.8,10,0,148,4/9/19,05586Y205,0.9,143.75,14.8,13.5652,1950000,4/1/19,4/1/19,57418.00,99.58445085,3,3.5977807,0.529500161,10-Oct,Priced Within Range,0,7,18,0
1865332D,TerraForm Global Inc,72.6,-24.7,-2.9,675,117.506,15,-6.666666508,1762.59,7/31/15,88104M101,-0.1,675,117.506,0.0814305,91284,7/1/15,7/1/15,54081.00,99.98278579,0.75,5.338603251,0.006704716,15 - 15,Priced Within Range,2,15,19,0
1866419D,Golden Nugget Online Gaming In,40.7,62,36.4,316.25,31.625,10,0.100000002,316.25,5/7/19,51476X204,-1.3,316.25,31.625,12.0816,3820800,5/1/19,4/1/19,57418.00,99.50838434,3,3.645931768,0.212875859,10-Oct,Priced Within Range,5,16,20,1
1875234D,Custom Truck One Source Inc,285.5,-15.5,-0.5,402.5,40.25,10,0.200000003,402.5,8/16/17,N.A.,0.5,402.5,40.25,0.609906,306859,8/1/17,7/1/17,55413.00,100.05168,1.75,4.476286789,0.29944523,10-Oct,Priced Within Range,0,7,18,1
1885525D,VeriFone Systems Inc,-6,-9.2,-3.2,177.1,65.0548,10,7.5,650.55,4/29/05,92342Y109,1.4,177.1,65.0548,0.612901,678724,4/1/05,4/1/05,50204.00,100.2832173,3.75,5.242813147,0.672529747,10-Oct,Priced Within Range,1,1,21,1
1885807D,athenahealth Inc,12.6,4.3,8.7,130.137,31.6004,18,97.22222137,568.81,9/20/07,04685W103,6,130.137,31.6004,3.08518,1270420,9/1/07,7/1/07,51882.00,101.7461893,5.25,4.791593443,0.275590741,14 - 16,Priced Above Range,1,5,22,1
1888299D,Advisory Board Co/The,4.5,11.3,3.5,109.25,12.2439,19,27.63157845,232.63,11/13/01,00762W107,2.7,109.25,12.2439,0.069886,28484.8,11/1/01,10/1/01,46400.00,98.44499123,1.58,5.610148971,-0.16882386,17 - 19,Priced Within Range,0,7,8,1
1898133D,Body Central Corp,-8.8,-14.9,-68.1,74.75,16.1557,13,0,210.02,10/15/10,09689U201,-8.3,74.75,16.1557,0.352807,5850,10/1/10,10/1/10,50859.00,99.75772772,0.75,9.681642739,0.124519889,14 - 16,Priced Below Range,5,17,23,0
1899263D,Instructure Inc,23.3,-31.2,-25.2,80.96,27.1956,16,12.5,435.13,11/13/15,45781U103,0.5,80.96,27.1956,24.669,9439140,11/1/15,10/1/15,54045.00,99.41157201,0.75,5.199007422,-0.211068038,16 - 18,Priced Within Range,1,5,24,1
1899786D,Intact Insurance Group USA Hol,0.6,8.9,1.8,690,24,25,4.039999962,600,11/9/06,N.A.,0.5,690,24,0.0360645,8290,11/1/06,10/1/06,51455.00,101.2916395,6.25,4.568466443,-0.148662042,24 - 26,Priced Within Range,3,18,25,1
1901329D,Advantage Solutions Inc,14.1,1.5,1.2,450,45,10,2.299999952,450,7/18/19,212896203,0.4,450,45,19.4264,10927300,7/1/19,7/1/19,57845.00,99.35534623,3,3.786645109,0.167094162,10-Oct,Priced Within Range,4,19,26,1
1903130D,Regal Entertainment Group,-1,3.5,4,393.3,130.782,19,14.47368431,2484.86,5/9/02,758766109,2.6,393.3,130.782,1.15411,1538520,5/1/02,4/1/02,46866.00,99.45832738,1.25,5.85679877,0,16 - 18,Priced Above Range,5,16,27,1
1903510D,SI Financial Group Inc,6.5,16.9,0.6,39.1,0,10,12,0,10/1/04,78425V104,1.7,39.1,0,0.50875,61224,10/1/04,10/1/04,49623.00,100.5370284,2.75,5.523151518,0.526592944,10-Oct,Priced Within Range,3,20,28,1
1910505D,Organogenesis Holdings Inc,38.3,20.2,18,310,31,10,-1.399999976,310,10/11/16,N.A.,0.4,310,31,10.7874,3971120,10/1/16,10/1/16,54714.00,99.43029734,1,4.98714224,0.124674851,10-Oct,Priced Within Range,0,21,29,0
1913362D,Allied Esports Entertainment I,54.3,1268.4,73.2,138,0,10,1.5,0,10/5/17,09216T206,-0.2,138,0,3.32964,1305870,10/1/17,10/1/17,55877.00,100.2302312,1.75,4.165125132,-0.06320421,10-Oct,Priced Within Range,5,16,30,1
1914858D,NeuStar Inc,15.2,13.9,9,695.75,56.1628,22,18.18181801,1235.58,6/29/05,64126X201,6.1,695.75,56.1628,0.0388847,21762,6/1/05,4/1/05,50204.00,100.2962748,4.25,5.089785897,0.051440329,18 - 20,Priced Above Range,1,1,31,1
1917130D,BioTelemetry Inc,9.9,6.8,2.5,82.764,23.0439,18,-1.666666627,414.79,3/19/08,90672106,1.9,82.764,23.0439,27.8203,9545380,3/1/08,1/1/08,51740.00,101.0056536,2.5,5.116461643,0.866821293,18 - 20,Priced Within Range,0,22,32,0
1917559D,Papa Murphy's Holdings Inc,-14.8,3.4,1.8,63.8,16.9657,11,0.454545468,186.62,5/2/14,698814100,0.6,63.8,16.9657,12.8835,2193990,5/1/14,4/1/14,52840.00,100.7710708,0.75,6.397136369,0.349260984,13-Nov,Priced Within Range,5,17,33,1
1918511D,Aerohive Networks Inc,0.8,-11.8,-16.6,86.25,44.7316,10,0,447.32,3/28/14,7786106,0.2,86.25,44.7316,10.2729,5899170,3/1/14,1/1/14,52266.00,100.6756095,0.75,6.763461499,0.644004413,11-Sep,Priced Within Range,4,23,34,0
1919709D,IHS Inc,5,11,3.9,267.076,43.3193,16,6.875,693.11,11/11/05,451734107,8.9,267.076,43.3193,0.174296,117567,11/1/05,10/1/05,50629.00,100.7991232,5,5.136890026,-0.803212851,14.50 - 16.50,Priced Within Range,1,1,31,1
1933924D,Civitas Solutions Inc,8.6,0.9,1.3,198.9,36.95,17,-2.294117689,628.15,9/17/14,17887R102,2.9,198.9,36.95,0.293841,106685,9/1/14,7/1/14,53340.00,100.8454243,0.75,6.060002734,0.075256882,20 - 23,Priced Below Range,0,0,35,0
1934798D,Dermira Inc,832.3,-523.2,-50.1,125,19.3224,16,-2.8125,309.659,10/3/14,24983L104,-5,125,19.3224,21.3459,11675200,10/1/14,10/1/14,53464.00,100.8195993,0.75,5.895838862,-0.251227781,14 - 16,Priced Within Range,0,13,36,0
1940857D,Fogo De Chao Inc,9,9.1,5.4,101.472,27.9148,20,28.75,558.296,6/19/15,344177100,1.9,101.472,27.9148,1.30596,368996,6/1/15,4/1/15,54021.00,100.1249321,0.75,5.350969219,0.350287,16 - 18,Priced Above Range,5,17,33,1
1990344D,Alcentra Capital Corp,-13.1,19,2.8,100.001,12.7668,15,0.333333343,191.5,5/9/14,01374T102,5.7,100.001,12.7668,20.923,2693960,5/1/14,4/1/14,52840.00,100.7710708,0.75,6.397136369,0.349260984,15 - 15,Priced Within Range,3,24,37,1
1998018D,Bellring Intermediate Holdings,26.1,2.2,4.3,552,39.4286,14,17.8571434,552,10/17/19,79823100,5.7,552,39.4286,0.598184,232621,10/1/19,10/1/19,58017.00,99.278352,2.25,3.640738145,0.228619055,16 - 19,Priced Below Range,0,10,11,1
2041013D,PLBY Group Inc,66.9,-31.5,-11.5,57.498,6.0713,10,0.400000006,60.713,6/5/20,62401M205,-0.9,57.498,6.0713,8.75021,659984,6/1/20,4/1/20,52394.00,96.38894556,0.25,10.71621054,0.547204693,10-Oct,Priced Within Range,5,25,38,1
2060389D,Fortress Investment Group LLC,-4.1,8.1,8.5,729.435,89.3575,18.5,67.56756592,1653.11,2/9/07,34958B106,1.1,729.435,89.3575,0.0138557,30400,2/1/07,1/1/07,51492.00,101.6073514,6.25,4.611606375,0.535036756,16.50 - 18.50,Priced Within Range,3,26,39,1
2072499D,American Midstream Partners LP,23.6,-0.9,-0.3,78.75,4.5261,21,-0.238095239,95.05,7/27/11,02752P100,0.1,78.75,4.5261,0.572225,311584,7/1/11,7/1/11,50769.00,99.50703914,0.75,9.061306168,0.088604567,19 - 21,Priced Within Range,7,27,40,0
2083506D,OncoMed Pharmaceuticals Inc,16.4,-18.2,-9.2,93.84,27.7875,17,59.88235474,472.39,7/18/13,68234X102,-1.1,93.84,27.7875,0.0667742,25835,7/1/13,7/1/13,52284.00,100.6172944,0.75,7.464771304,0.039399753,14 - 16,Priced Above Range,0,21,29,1
2157768D,ExOne Co/The,11.2,-25.1,-14.2,109.71,13.2816,18,47.33333206,239.07,2/7/13,302104104,-0.7,109.71,13.2816,11.5305,2582980,2/1/13,1/1/13,51998.00,100.169431,0.75,7.762535211,0.819002953,16 - 18,Priced Within Range,1,1,41,1
2177859D,Biohaven Pharmaceutical Holdin,626.9,-183,-83.2,193.545,35.7156,17,2.941176414,607.165,5/4/17,N.A.,-12.8,193.545,35.7156,85.2592,61084000,5/1/17,4/1/17,55057.00,99.9020738,1.5,4.399948582,0.085472183,14 - 16,Priced Above Range,0,21,29,1
2192176D,Bankrate Inc,16.7,-7.8,-2,344.917,100,15,2.266666651,1500,6/17/11,06647F102,0.8,344.917,100,0.00733824,6582,6/1/11,4/1/11,50897.00,99.76797113,0.75,9.175962174,-0.107096706,14 - 16,Priced Within Range,4,8,9,1
2982007Q,TheraSense Inc,19.2,-2.2,-2.9,131.1,38.0898,19,31.15789413,723.71,10/12/01,883381105,0.5,131.1,38.0898,0.000939699,400,10/1/01,10/1/01,46400.00,98.29104909,2.02,5.413870464,-0.336511497,18 - 20,Priced Within Range,0,22,42,1
3610748Q,Encore Acquisition Co,-39.6,-11.8,-2.2,100.1,30.03,14,3.928571463,420.42,3/8/01,29255W100,14.1,100.1,30.03,0.228084,127700,3/1/01,1/1/01,46519.00,98.49088445,4.81,4.360766876,0.227531286,13 - 15,Priced Within Range,2,28,43,1
9123456D,Williams Partners LP/Old,-8.6,15.9,4.2,123.625,7,21.5,18.6046505,150.5,8/18/05,96950F104,4.9,123.625,7,0.00041462,1823.11,8/1/05,7/1/05,50470.00,100.3998318,4.5,4.955369401,0.511770727,19 - 21,Priced Above Range,2,2,2,1
9966611D,Antero Midstream Partners LP,33.1,56.9,17.7,1150,81.941,25,12.11999989,2048.53,11/5/14,03673L103,3.5,1150,81.941,0.0467063,87495,11/1/14,10/1/14,53464.00,100.7732648,0.75,5.911112923,-0.539941794,19 - 21,Priced Above Range,2,28,43,1
9966911D,Cadence BanCorp,2.7,-22.1,2.5,172.5,83.625,20,7.75,1672.5,4/13/17,12739A100,4,172.5,83.625,1.5793,1933000,4/1/17,4/1/17,55057.00,99.87725138,1.5,4.433586626,0.296553337,19 - 21,Priced Within Range,3,9,44,1
9990616D,ReShape Lifesciences Inc/CA,-25.1,-191.4,-48.8,43.9188,16.7989,8,0,134.39,11/15/07,761123603,-1.2,43.9188,16.7989,91.5776,5647180,11/1/07,10/1/07,52066.00,101.5178052,5,4.772251125,0.593961787,9-Aug,Priced Within Range,0,7,45,0
9990620D,Grubhub Inc/old,38.7,-8.5,-7.9,221.426,78.3858,26,30.76922989,2038.03,4/4/14,400110102,1.4,221.426,78.3858,2.23064,2082250,4/1/14,4/1/14,52840.00,100.7244786,0.75,6.336592395,0.329675445,23 - 25,Priced Above Range,4,8,9,1
9992011D,FTS International Inc,-66.1,-14.3,18.7,403.65,109.275,18,14.5,1966.95,2/2/18,30283W203,-3.1,403.65,109.275,50.5685,2721010,2/1/18,1/1/18,56195.00,100.5687191,2,4.155353875,0.453468997,15 - 18,Priced Within Range,2,29,46,1
9998522D,Primo Water Operations Inc,4.8,0.8,1.2,114.96,20.274,12,7.916666508,243.29,11/5/10,74165N105,0.8,114.96,20.274,48.5249,19166800,11/1/10,10/1/10,50859.00,99.91560898,0.75,9.89147006,0.042064642,13-Nov,Priced Within Range,0,30,47,1
9998865D,Whiting Petroleum Corp,98.1,27.9,16,267.375,18.738,15.5,4.967741966,290.44,11/20/03,966387409,18.9,267.375,18.738,103.278,39298600,11/1/03,10/1/03,48450.00,100.3145817,2,5.962766689,-0.27027027,14 - 16,Priced Within Range,2,28,43,1
AACH,AAC Holdings Inc,-6.8,-20,-19.8,86.25,20.9233,15,23.33333397,313.849,10/2/14,307108,-1.2,86.25,20.9233,7.18717,1808130,10/1/14,10/1/14,53464.00,100.8195993,0.75,5.895838862,-0.251227781,14-Dec,Priced Above Range,0,0,48,1
AAOI,Applied Optoelectronics Inc,-9.8,-25.6,-13.8,41.4,13.1496,10,-0.400000006,131.5,9/26/13,03823U102,-0.4,41.4,13.1496,43.5371,12418400,9/1/13,7/1/13,52284.00,100.6503359,0.75,7.388513748,0.116300449,13 - 15,Priced Below Range,8,31,49,0
AAT,American Assets Trust Inc,9,9.7,1.7,648.312,36.66,20.5,3.658536673,751.53,1/13/11,24013104,2.8,648.312,36.66,92.4327,55947800,1/1/11,1/1/11,50646.00,100.2239092,0.75,9.228517755,0.476323005,19 - 21,Priced Within Range,3,3,50,1
ABG,Asbury Automotive Group Inc,37.9,5.4,13.7,127.05,34,16.5,1.818181872,561,3/14/02,43436104,58.4,127.05,34,113.082,25028500,3/1/02,1/1/02,46683.00,99.42674768,1.25,5.882196236,0.562429696,15 - 17,Priced Within Range,5,17,51,1
ABNB,Airbnb Inc,77.3,-5.8,10.9,3830,103.683,68,112.8088226,7050.44,12/10/20,9066101,3.5,3830,103.683,68.7472,273783000,12/1/20,10/1/20,57005.00,99.71018332,0.25,6.897872332,0.094147847,56 - 60,Priced Above Range,4,8,9,1
ABR,Arbor Realty Trust Inc,32.3,42.4,2.2,135.874,14.9496,20,2.5,298.99,4/7/04,38923108,1.5,135.874,14.9496,42.1671,72326500,4/1/04,4/1/04,48905.00,101.0072146,2,5.662633096,0.320170758,19 - 21,Priced Within Range,3,3,6,1
ABTX,Allegiance Bancshares Inc,4.7,34.3,1.1,62.79,12.813,21,10.09523773,260.883,10/8/15,01748H107,5.3,62.79,12.813,62.0364,12382600,10/1/15,10/1/15,54045.00,99.52145458,0.75,5.19705592,-0.044968375,22 - 24,Priced Below Range,3,9,44,1
ACAD,ACADIA Pharmaceuticals Inc,9.6,-34.6,-32.9,35,16.8457,7,-4.285714149,117.92,5/27/04,4225108,-0.7,35,16.8457,99.0587,160407000,5/1/04,4/1/04,48905.00,100.9690499,2,5.649825354,0.585106383,14-Dec,Priced Below Range,0,21,29,0
ACC,American Campus Communities In,8.2,3.7,0.9,220.763,12.1,17.5,0,211.75,8/12/04,24835100,2.4,220.763,12.1,30.883,43076600,8/1/04,7/1/04,49243.00,100.6961111,2.5,5.45422641,0.05279831,19 - 21,Priced Below Range,3,3,3,0
ACCD,Accolade Inc,81.9,-39.7,-36.4,253.574,48.7887,22,35,1073.35,7/2/20,4.37E+104,-0.9,253.574,48.7887,84.4306,60738500,7/1/20,7/1/20,56484.00,97.81746245,0.25,9.875006693,0.50582435,19 - 21,Priced Above Range,0,0,52,1
ACET,Adicet Bio Inc,-45.6,-637.1,-18.2,97.7505,28.0463,15,12.53333378,420.695,1/26/18,7002108,-1.6,97.7505,28.0463,97.4117,41742200,1/1/18,1/1/18,56195.00,100.4818485,2,4.134060502,0.544774545,14 - 16,Priced Within Range,0,21,29,1
ACI,Albertsons Cos Inc,3.1,2.2,6,800,479.027,16,-3.4375,7664.43,6/26/20,13091103,7.4,800,479.027,83.2054,445204000,6/1/20,4/1/20,52394.00,96.38894556,0.25,10.71621054,0.547204693,18 - 20,Priced Below Range,0,10,53,0
ACIA,Acacia Communications Inc,25.5,15.4,11.4,119.025,35.7266,23,34.56521606,821.712,5/13/16,00401C108,3.1,119.025,35.7266,30.8273,13142200,5/1/16,4/1/16,54334.00,99.17131936,1,4.882282302,0.4045791,21 - 23,Priced Within Range,4,23,34,1
ACLS,Axcelis Technologies Inc,39.5,14.8,20.2,375.1,97.05,22,8.806818008,2135.1,7/11/00,54540208,4.4,375.1,97.05,92.5295,30394700,7/1/00,7/1/00,46624.00,100.5207065,6,4.063214054,0.232018561,20 - 22,Priced Within Range,1,4,54,1
ACM,AECOM,0.7,1.3,2.5,808.45,97.6077,20,5.5,1952.15,5/10/07,00766T100,5,808.45,97.6077,90.9836,127058000,5/1/07,4/1/07,51705.00,101.897221,6.25,4.507395483,0.611071867,18 - 20,Priced Within Range,8,32,55,1
ACMR,ACM Research Inc,65.8,14.5,5.3,12.5048,12.9355,5.6,8.035716057,72.4388,11/3/17,00108J109,-0.7,12.5048,12.9355,82.882,45065900,11/1/17,10/1/17,55877.00,100.3158857,1.75,4.25663681,0.002432469,7.50 - 9.50,Priced Below Range,1,4,54,1
ACOR,Acorda Therapeutics Inc,-15.6,-80.5,-24.5,36.4537,19.6226,6,12,117.74,2/10/06,00484M601,-3.8,36.4537,19.6226,35.8607,8727700,2/1/06,1/1/06,51200.00,101.1704712,5.5,4.870275357,0.201714574,7-Jun,Priced Within Range,0,21,29,1
ACRE,Ares Commercial Real Estate Co,13,39.7,1.7,142.45,9.235,18.5,-2.702702761,170.85,4/26/12,04013V108,1.1,142.45,9.235,51.7759,28188200,4/1/12,4/1/12,51702.00,99.90659148,0.75,8.305796918,0.30210295,19 - 20,Priced Below Range,3,3,6,0
ACRS,Aclaris Therapeutics Inc,4.3,-1343.9,-30.9,63.25,20.1575,11,0.454545468,221.732,10/7/15,00461U105,-0.9,63.25,20.1575,105.571,70398100,10/1/15,10/1/15,54045.00,99.52145458,0.75,5.19705592,-0.044968375,14 - 16,Priced Below Range,0,13,15,1
ACRX,AcelRx Pharmaceuticals Inc,-47.9,-1245.5,67.3,40,19.372,5,-9,96.86,2/11/11,00444T209,-5,40,19.372,21.859,1628350,2/1/11,1/1/11,50646.00,100.3052137,0.75,9.152159044,0.493136503,5-May,Priced Within Range,0,13,15,0
ADMA,ADMA Biologics Inc,91.7,-88.5,-27.6,28.4996,9.2239,8.5,0.588235319,78.4,10/17/13,899104,-0.8,28.4996,9.2239,85.5999,168441000,10/1/13,10/1/13,52544.00,100.65078,0.75,7.416395048,-0.257528326,8.50 - 9.50,Priced Within Range,0,21,29,1
ADMS,Adamas Pharmaceuticals Inc,36.2,-77,-45.3,48,16.423,16,-12.4375,262.77,4/10/14,00548A106,-1.7,48,16.423,7.6299,3493500,4/1/14,4/1/14,52840.00,100.7244786,0.75,6.336592395,0.329675445,16 - 18,Priced Within Range,0,13,15,0
ADPT,Adaptive Biotechnologies Corp,56.8,-134.3,-23.6,345,123.224,20,101.5,2464.48,6/27/19,00650F109,-1.3,345,123.224,96.5751,138114000,6/1/19,4/1/19,57418.00,99.43025865,3,3.689126149,0.019914718,18 - 19,Priced Above Range,0,22,32,1
ADPTQ,Adeptus Health Inc,73,3.6,12.6,123.97,9.8397,22,17.04545403,216.47,6/25/14,6855100,1,123.97,9.8397,0.725188,118899,6/1/14,4/1/14,52840.00,100.8107011,0.75,6.174444118,0.186212694,19 - 22,Priced Within Range,0,0,56,1
ADSW,Advanced Disposal Services Inc,4.1,-0.4,0.00849473,398.475,86.631,18,11.11111069,1559.36,10/6/16,00790X101,3.1,398.475,86.631,47.2815,42911900,10/1/16,10/1/16,54714.00,99.43029734,1,4.98714224,0.124674851,18 - 21,Priced Within Range,8,33,57,1
ADT,ADT Inc,-0.1,-6.4,-0.2,1470,748.949,14,-11.5,10485.3,1/19/18,00090Q103,2,1470,748.949,93.666,804331000,1/1/18,1/1/18,56195.00,100.4818485,2,4.134060502,0.544774545,17 - 19,Priced Below Range,0,7,58,0
ADUS,Addus HomeCare Corp,13,5.2,4.7,54,10.4963,10,-15.10000038,104.96,10/28/09,6739106,2.5,54,10.4963,109.328,17613100,10/1/09,10/1/09,49886.00,98.18717138,0.5,10.18384358,0.096310119,13-Nov,Priced Below Range,0,0,35,0
AEI,Alset Inc,21.9,-521.8,-71.8,15.12,8.56,7,-0.285714299,59.92,11/24/20,02115D109,-0.6,15.12,8.56,4.11907,6117120,11/1/20,10/1/20,57005.00,99.33764341,0.25,6.992358599,-0.061062722,7-Jun,Priced Within Range,3,34,59,0
AEL,American Equity Investment Lif,9,11.7,1.6,186.3,33.294,9,0.555555582,299.65,12/4/03,25676206,45.1,186.3,33.294,104.308,89394000,12/1/03,10/1/03,48450.00,100.6010521,2,5.783101078,-0.108401084,10-Sep,Priced Within Range,3,18,60,1
AERI,Aerie Pharmaceuticals Inc,133.5,-38.5,-10,77.28,23.2137,10,6.099999905,232.14,10/25/13,00771V108,-2.1,77.28,23.2137,106.964,52858800,10/1/13,10/1/13,52544.00,100.65078,0.75,7.416395048,-0.257528326,14-Dec,Priced Below Range,0,13,15,1
AFFMQ,Affirmative Insurance Holdings,-41.6,-22.4,-10,131.537,16.0919,14,0.142857149,225.29,7/9/04,8272106,-3.3,131.537,16.0919,0.242334,39150,7/1/04,7/1/04,49243.00,100.8035013,2.25,5.557144436,-0.158144439,16 - 18,Priced Below Range,3,18,25,1
AFFY,Affymax Inc,-98.5,-1053.6,20.5,106.375,14.0138,25,35.52000046,350.34,12/15/06,00826A109,-1.8,106.375,14.0138,0.00133369,500,12/1/06,10/1/06,51455.00,101.3989179,6.25,4.52174096,0.148883375,22 - 24,Priced Above Range,0,21,29,1
