,Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Offer Size (M),Shares Outstanding (M),Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup
10,0355864Q US,AeroGen Inc,49.8,-161.2,-11,43.2,19.3767,12,0,232.52,11/10/2000,7779309,-3,43.2,19.3767,,,13 - 15,Priced Below Range,"Consumer, Non-cyclical",Pharmaceuticals,Drug Delivery Systems
11,0404579D US,Landacorp Inc,,,13.3,35,13.2599,10,59.375,132.599,2/8/2000,514756105,,35,13.2599,,,10-Aug,Priced Within Range,Technology,Software,Medical Information Sys
12,0543122D US,Altiris Inc,,,4.5,50,19.7959,10,,197.96,5/22/2002,02148M100,,50,19.7959,,,12-Oct,Priced Within Range,Technology,Software,Enterprise Software/Serv
13,0556728D US,Cogenics Icoria Inc,16.3,-58.6,-34.2,35,23.9113,7,1.785714269,167.38,5/5/2000,451045108,-0.1,35,23.9113,,,14 - 16,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
14,0561286D US,CoTherix Inc,,-102.9,-23.8,30,19.5893,6,0,117.54,10/15/2004,22163T103,-1,30,19.5893,,,10-Aug,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
15,0618171D US,Turnstone Systems Inc,,-3057.9,,87,29.3538,29,234.4827576,851.26,1/31/2000,900423104,,87,29.3538,0.00138606,879,23 - 25,Priced Above Range,Communications,Telecommunications,Networking Products
16,0618586D US,Buckeye GP Holdings LP,,,1.6,178.5,28.3,17,-4.529411793,481.1,8/4/2006,118167105,,178.5,28.3,,,19 - 21,Priced Below Range,Energy,Pipelines,Pipelines
17,0623514D US,United Surgical Partners Inter,3.9,9.5,2.5,144.9,22.9646,14,29.4285717,321.5,6/7/2001,913016309,,144.9,22.9646,,,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Services,Medical-Hospitals
18,0746722D US,Pacific Energy Partners LP,23.6,17.6,4.1,167.7,10.465,19.5,-2.56410265,204.07,7/23/2002,69422R105,2.3,167.7,10.465,,,18.50 - 20.50,Priced Within Range,Energy,Pipelines,Pipelines
19,0759976D US,Government Properties Trust In,60.5,-9.6,-0.9,193.2,18.0231,10,30.29999924,180.23,1/27/2004,38374W107,0.6,193.2,18.0231,,,11-Sep,Priced Within Range,Financial,REITS,REITS-Office Property
20,0778324D US,Esperion Therapeutics Inc/Old,,,,54,24.0249,9,30.55555534,216.22,8/10/2000,29664R106,-4.7,54,24.0249,0.00643161,2192,10-Aug,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs
21,0813137D US,Ribapharm Inc,88.1,47.8,79,299,150,10,8,1500,4/12/2002,762537108,0.5,299,150,,,13 - 15,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
22,0814801D US,Bruker AXS Inc,,,-2.8,67.275,54.8303,6.5,0,356.4,12/14/2001,11679P101,,67.275,54.8303,,,10-Aug,Priced Below Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Imaging Systems
23,0816864D US,S&P 500 Covered Call Fund Inc,,,,336,0,20,0,0,3/28/2005,78381P109,,336,0,7.20851,1276050,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds
24,0818604D US,Bridge Street Financial Inc,18.8,9.6,,15.1073,2.68367,10,1.600000024,26.84,1/6/2003,10805U109,1.2,15.1073,2.68367,,,10-Oct,Priced Within Range,Financial,Banks,Commer Banks-Eastern US
25,0820558D US,Talarian Corp,-6.2,-157.3,-30,67.2,18.8551,16,42.1875,301.68,7/21/2000,874090103,-0.7,67.2,18.8551,,,14-Dec,Priced Above Range,Technology,Software,Enterprise Software/Serv
26,0824986D US,EEG Glider Inc,1.5,-23.3,-34,189.925,21.3415,10,0.200000003,213.41,5/13/2011,37951D201,,189.925,21.3415,,,10-Oct,Priced Within Range,Communications,Media,Cable/Satellite TV
27,0852651D US,Metals USA Holdings Corp,5.1,2.6,5.3,239.953,37.0248,21,-8.571428299,777.52,4/9/2010,59132A104,1.8,239.953,37.0248,,,18 - 20,Priced Above Range,Basic Materials,Iron/Steel,Steel-Producers
28,0861757D US,Animal Health Holdings Inc,0.3,0.1,0.7,149.27,24.333,11,13.18181801,267.66,1/31/2007,03525N109,0.2,149.27,24.333,,,12-Oct,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Veterinary Diagnostics
29,0863289D US,Anchor Hocking Holdings Inc,-13.1,-33.7,-41.6,75,7.51,10,0.100000002,75.1,2/24/2012,74966A203,-1.3,75,7.51,,,10-Oct,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Appliances
30,0878522D US,Crestwood Midstream Partners L,3.9,14.8,1.4,120.75,11.5886,21,0,243.36,8/7/2007,226372100,1.9,120.75,11.5886,,,19 - 21,Priced Within Range,Energy,Pipelines,Pipelines
31,0882565D US,Sizmek Technologies Inc,,,9.2,62.2576,18.3153,11.5,-8.695652008,210.63,8/11/2010,58449C100,,62.2576,18.3153,,,14 - 16,Priced Below Range,Communications,Advertising,Advertising Services
32,0883461D US,Eagle Test Systems Inc,,,11.6,100.75,20.6415,15.5,0,319.94,3/9/2006,270006109,,100.75,20.6415,,,14 - 16,Priced Within Range,Technology,Semiconductors,Electronic Compo-Semicon
33,0891107D US,FTD Group Inc,,,5.1,195.845,29.0166,13,4.615384579,377.22,2/9/2005,30267U108,,195.845,29.0166,,,14-Dec,Priced Within Range,Communications,Internet,E-Commerce/Products
34,0911013D US,Specialty Laboratories Inc,12.6,-9.6,-15.9,80,20.1875,16,45.703125,323,12/8/2000,84749R100,-0.3,80,20.1875,0.00152654,365,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv
35,0918134D US,Emageon Inc,,,-56.5,74.75,19.633,13,15,255.23,2/9/2005,29076V109,,74.75,19.633,,,13 - 15,Priced Within Range,Technology,Software,Enterprise Software/Serv
36,0932839D US,Xenogen Corp,,,-52.4,29.4,14.9773,7,7.142857075,104.84,7/16/2004,98410R108,,29.4,14.9773,,,8-Aug,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
37,0959089D US,Corillian Corp,,,-1.6,32,29.5256,8,6.25,236.2,4/12/2000,218725109,,32,29.5256,,,12-Oct,Priced Below Range,Financial,Diversified Finan Serv,Finance-Other Services
38,0965081D US,First Trust Tax-Advantaged Pre,,,,59.2,0,20,0,0,6/28/2006,336918107,,59.2,0,,,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds
39,0965087D US,SeaCube Container Leasing Ltd,17.3,23.3,2.8,109.25,19.5428,10,10,195.428,10/28/2010,N.A.,5.1,109.25,19.5428,,,16 - 18,Priced Below Range,Financial,Diversified Finan Serv,Finance-Leasing Compan
40,0967702D US,HealthSpring Inc,,,10.9,421.59,57.2896,19.5,12.71794891,1117.15,2/3/2006,42224N101,,421.59,57.2896,,,16 - 18,Priced Above Range,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv
41,0967872D US,Global Traffic Network Inc,25.7,7.6,11.2,21.85,12.87,5,4,64.35,3/24/2006,37947B103,0.9,21.85,12.87,,,5.50 - 6.50,Priced Below Range,Communications,Media,Radio
42,0977894D US,United Financial Bancorp Inc/O,29.9,19.1,,77.6215,0,10,17.5,0,7/13/2005,91030T109,1.4,77.6215,0,,,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Eastern US
43,1008517Q US,Blaze Software Inc,100.9,-130.6,,64,21.3192,16,73.4375,341.11,3/23/2000,09347T109,-0.6,64,21.3192,,,14-Dec,Priced Above Range,Communications,Internet,Internet Infrastr Sftwr
44,1016061Q US,Viewlocity Inc,-79.2,-144.4,-247.5,35,27.615,7,0,193.305,8/15/2000,926720103,-3.1,35,27.615,,,8-Jul,Priced Within Range,Technology,Software,Applications Software
45,1023765D US,ConnectOne Bancorp Inc/Old,15.6,24.4,0.9,51.52,4.753,28,5.892857075,133.08,2/12/2013,20786U101,3,51.52,4.753,,,26 - 29,Priced Within Range,Financial,Banks,Commer Banks-Eastern US
46,1023767D US,NorthStar Realty Finance Corp/,106.6,-11.9,-2.1,190.447,20.0851,9,-2.777777672,180.77,10/26/2004,66704R100,2.9,190.447,20.0851,,,11-Sep,Priced Within Range,Financial,REITS,REITS-Diversified
47,1052394D US,MPG Office Trust Inc,-1.6,166.2,22.9,797.743,37.1693,19,0,706.22,6/25/2003,553274101,0.1,797.743,37.1693,,,19 - 21,Priced Within Range,Financial,REITS,REITS-Office Property
48,1056372D US,ProCentury Corp,,,3.9,93.45,13.1012,10.5,0,137.56,4/20/2004,74268T108,,93.45,13.1012,,,12-Oct,Priced Within Range,Financial,Insurance,Property/Casualty Ins
49,1119666D US,James River Group Inc,,,5.1,91.9908,14.3847,18,11.11111069,258.92,8/9/2005,470359100,,91.9908,14.3847,,,16 - 18,Priced Within Range,Financial,Insurance,Property/Casualty Ins
50,1121454D US,StorageNetworks Inc,-23.2,-80.6,-11.6,243,88.261,27,234.2592621,2383.05,6/29/2000,8.62E+107,-0.00553193,243,88.261,0.00660204,6567,23 - 25,Priced Above Range,Technology,Computers,Computers-Memory Devices
51,1224790D US,NASDAQ Premium Income & Growth,,,,364,0,20,0,0,1/26/2007,63110R105,,364,0,,,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds
52,1229348D US,Jason Industries Inc,-8.1,-24.1,-24.3,172.5,18.4,10,0.398750007,184,8/9/2013,74874R207,-0.7,172.5,18.4,,,10-Oct,Priced Within Range,Industrial,Hand/Machine Tools,Mach Tools&Rel Products
53,1233306D US,Animas Corp,,,-34.7,73.3125,18.5318,15,20,277.98,5/20/2004,03525Y105,,73.3125,18.5318,,,13 - 15,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments
54,1235274D US,GenOn Energy Inc,-14.6,-18.5,7.9,1794,292,30,10,8760,5/1/2001,3.72E+111,,1794,292,,,28 - 30,Priced Within Range,Utilities,Electric,Electric-Generation
55,1236053D US,EnergySolutions Inc,-0.1,-3,-5.9,828.506,0,23,0.043478262,0,11/14/2007,292756202,0.2,828.506,0,,,19 - 21,Priced Above Range,Industrial,Environmental Control,Hazardous Waste Disposal
56,1240716D US,Targa Energy LP,69.4,-2.9,-0.8,82.8,21.1,23,0,485.3,7/21/2006,04930A104,0.7,82.8,21.1,0.00707592,3681,23 - 25,Priced Within Range,Energy,Pipelines,Pipelines
57,1245842D US,Valera Pharmaceuticals Inc,-33,-77.5,-57.4,34.7625,14.8085,9,10.33333302,133.28,2/2/2006,91914F100,-0.9,34.7625,14.8085,,,12-Oct,Priced Below Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs
58,1291067D US,Blue Bird Corp,-22.2,-0.0422518,-6,115,11.5,10,0.200000003,115,1/17/2014,425886207,-2,115,11.5,,,10-Oct,Priced Within Range,"Consumer, Cyclical",Auto Manufacturers,Auto-Med&Heavy Duty Trks
59,1292387D US,Dobson Communications Corp,,,0.4,550,88.2531,22,5.113636494,1941.57,2/3/2000,256069105,,550,88.2531,0.00900227,15125,20 - 22,Priced Within Range,Communications,Telecommunications,Cellular Telecom
60,1293318D US,PayPal Inc,,,,80.73,59.8325,13,54.53845978,777.82,2/14/2002,704508100,,80.73,59.8325,,,14-Dec,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance
61,1294243D US,Cogdell Spencer Inc,-2.1,-17.2,-4.6,103.7,8.0004,17,0,136.01,10/27/2005,19238U107,0.6,103.7,8.0004,,,18 - 20,Priced Below Range,Financial,REITS,REITS-Health Care
62,1297092D US,Infor Global Solutions Massach,41,-73.9,-29.4,80,21.8477,20,256.25,436.954,1/26/2000,302255104,-1.3,80,21.8477,,,14 - 16,Priced Above Range,Technology,Software,Applications Software
63,1310423D US,Silver Eagle Acquisition Corp,,,,325,32.5,10,0,325,7/23/2013,827694209,-0.1,325,32.5,,,10-Oct,Priced Within Range,Financial,Investment Companies,Investment Companies
64,1311346D US,Morton's Restaurant Group Inc,5.3,0.8,2.3,174.538,16.0985,17,5.294117451,273.67,2/9/2006,619430101,0.7,174.538,16.0985,,,14 - 16,Priced Above Range,"Consumer, Cyclical",Retail,Retail-Restaurants
65,1315920D US,Lindblad Expeditions Holdings,78.6,-81,-12.8,180,18,10,0.100000002,180,5/10/2013,14056V204,0.6,180,18,,,10-Oct,Priced Within Range,"Consumer, Cyclical",Leisure Time,Cruise Lines
66,1317066D US,AgroFresh Solutions Inc,5.2,-3.2,-2.4,221.5,22.15,10,0,221.5,2/13/2014,10157P203,,221.5,22.15,,,,,Basic Materials,Chemicals,Chemicals-Specialty
67,1321686D US,Wright Medical Group Inc,22.9,-87.1,-24.6,107.812,27.9797,12.5,24.87999916,349.75,7/13/2001,98235T107,-2.3,107.812,27.9797,,,11.50 - 13.50,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products
68,1334197D US,Xtent Inc,,,-107.8,75.2,22.7963,16,3,364.74,2/1/2007,984141101,-1.6,75.2,22.7963,,,16 - 18,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments
69,1349322D US,MLP & Strategic Equity Fund In,,,,290.01,0,20,0,0,6/27/2007,55312N106,,290.01,0,,,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds
70,1367507D US,CIFC Corp,-59.9,11.6,0.1,400,51.6597,16,0,826.56,6/29/2005,N.A.,-55.3,400,51.6597,,,17 - 19,Priced Below Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv
71,1369764D US,RSC Holdings Inc,23.3,-1.9,1,458.333,103.148,22,-13.63636398,2269.26,5/23/2007,74972L102,3.1,458.333,103.148,,,23 - 25,Priced Below Range,"Consumer, Non-cyclical",Commercial Services,Rental Auto/Equipment
72,1373473D US,Metabasis Therapeutics Inc,-46.6,-879.7,-56.4,35,17.8657,7,-4.857142925,125.06,6/16/2004,59101M105,-0.9,35,17.8657,,,8-Jul,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene
73,1379842D US,Embarcadero Technologies Inc,,,4.9,42,25.72,10,60,257.2,4/20/2000,290787100,,42,25.72,,,13-Nov,Priced Below Range,Technology,Software,Applications Software
74,1384851D US,OPNET Technologies Inc,,,8.4,52,17.3066,13,42.30769348,224.99,8/2/2000,683757108,,52,17.3066,,,14-Dec,Priced Within Range,Technology,Software,Computer Software
75,1395066D US,Hiland Partners Holdings LLC,,,-4.9,51.75,2.72,22.5,29.11111069,61.2,2/10/2005,431291103,,51.75,2.72,,,19 - 21,Priced Above Range,Energy,Pipelines,Pipelines
76,139663Q US,Skillsoft US Corp,,,-1.2,43.4,12.5793,14,28.5714283,176.11,1/31/2000,83066P101,,43.4,12.5793,,,14-Dec,Priced Within Range,Technology,Software,Applications Software
77,1403557D US,Gander Mountain Co,,,-1.3,105.34,13.3632,16,37.625,213.81,4/21/2004,36471P207,,105.34,13.3632,,,14 - 16,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Sporting Goods
78,1409833D US,Columbia Equity Trust Inc,446,-5.2,-1.4,207,12.0633,15,2.666666746,180.95,6/29/2005,197627102,0.1,207,12.0633,,,14 - 16,Priced Within Range,Financial,REITS,REITS-Office Property
79,1413744D US,Golfsmith International Holdin,10,-0.0238086,-0.2,69,15.4727,11.5,-3.478260756,177.94,6/15/2006,38168Y103,0.7,69,15.4727,,,14 - 16,Priced Below Range,"Consumer, Cyclical",Retail,Retail-Sporting Goods
80,1416528D US,Cardtronics Inc,,,,120,38.5662,10,-5,385.66,12/11/2007,14161H108,,120,38.5662,,,14 - 16,Priced Below Range,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance
81,1435766D US,Register.com Inc,,,2.3,120,30.7594,24,138.5416718,738.226,3/2/2000,75914G101,,120,30.7594,,,19 - 21,Priced Above Range,Communications,Internet,Web Hosting/Design
82,1440013D US,Cogent Inc,3.1,25,3,248.4,78,12,49.83333206,936,9/24/2004,19239Y108,0.6,248.4,78,,,12-Oct,Priced Within Range,Industrial,Electronics,Identification Sys/Dev
83,1448479D US,Campus Crest Communities Inc,15.9,-152.4,-3.1,407.288,28.4283,12.5,0.079999998,355.35,10/14/2010,13466Y105,1,407.288,28.4283,2.99985,1942600,12.50 - 14.50,Priced Within Range,Financial,REITS,REITS-Apartments
84,1448759D US,Ottawa Savings Bancorp Inc,,,,23.84,0,10,22.5,0,8/10/2016,68955R102,,23.84,0,,,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Central US
85,1455797D US,TAL International Group Inc,,,,225,34.3368,18,0,618.06,10/12/2005,874083108,,225,34.3368,,,20 - 20,Priced Below Range,Industrial,Trucking&Leasing,Transport-Equip&Leasng
86,1467202D US,RailAmerica Inc,,,-0.4,330,54.3469,15,-8.333333015,815.2,10/13/2009,750753402,,330,54.3469,,,16 - 18,Priced Below Range,Industrial,Transportation,Transport-Rail
87,1468826D US,NFP Corp,,,3.2,239.822,31.4834,23,14.13043499,724.12,9/18/2003,63607P208,,239.822,31.4834,,,21 - 23,Priced Within Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv
88,1469085D US,Tessera Technologies Inc,,,,112.125,37.8334,13,42.30769348,491.83,11/13/2003,88164L100,,112.125,37.8334,,,11-Sep,Priced Above Range,Technology,Semiconductors,Semiconductor Equipment
89,1469138D US,Envision Healthcare Holdings I,23.8,2.6,2,1110.9,174.083,23,9.347826004,4003.91,8/14/2013,29413U103,1.3,1110.9,174.083,,,20 - 23,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Services,Phys Practice Mgmnt
90,1481878D US,DynCorp International Inc,,,-29.6,375,0,15,-0.400000006,0,5/4/2006,26817C101,,375,0,,,15 - 17,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Commercial Services
91,1482276D US,FMC Technologies Inc,,,,221,65,20,10,1300,6/14/2001,30249U101,,221,65,,,,,Energy,Oil&Gas Services,Oil Field Mach&Equip
92,1488164D US,Aames Investment Corp,36.2,-1.6,0.2,342.125,56.07,8.5,9.411765099,476.6,11/2/2004,00253G108,-7.2,342.125,56.07,,,11-Sep,Priced Below Range,Financial,REITS,REITS-Mortgage
93,1501257D US,RMR Real Estate Income Fund/DE,,,,35,0,20,0,0,5/26/2006,N.A.,,35,0,0.00176436,135,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds
94,1508335D US,Life Time Inc,7,8.8,4.3,210.622,34.6941,18.5,13.51351357,641.84,6/30/2004,53217R207,6.7,210.622,34.6941,,,17 - 19,Priced Within Range,"Consumer, Cyclical",Leisure Time,Recreational Centers
95,1509993D US,Nuveen Arizona Dividend Advant,,,,42.375,0,15,0.06666667,0,9/26/2002,6.71E+105,,42.375,0,,,15 - 15,Priced Within Range,Funds,Debt Fund,Unclassified
96,1510484D US,Centra Software Inc,,,,70,23.2501,14,137.5,325.501,2/2/2000,15234X103,,70,23.2501,,,10-Aug,Priced Above Range,Communications,Internet,Internet Applic Sftwr
97,1523541D US,Simplicity Bancorp Inc,-9.1,16.2,0.5,56.8675,0,10,34.90000153,0,3/31/2004,828867101,0.9,56.8675,0,,,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Western US
98,1529158D US,Numerical Technologies Inc,-4.6,-139.4,-35.8,77.476,29.082,14,154.0178528,407.15,4/7/2000,67053T101,0.3,77.476,29.082,,,13-Nov,Priced Above Range,Technology,Computers,Electronic Design Automa
99,1530827D US,Tvia Inc,,,-38,55,21.1403,11,0,232.54,8/9/2000,87307P101,,55,21.1403,,,13-Nov,Priced Within Range,Technology,Semiconductors,Electronic Compo-Semicon
100,1537336D US,Trulia LLC,75.2,-30,-11.6,117.3,27.2767,17,41.17647171,463.7,9/20/2012,897888103,0.3,117.3,27.2767,,,14 - 16,Priced Above Range,Communications,Internet,E-Commerce/Services
101,1544310D US,Dole Food Co Inc,-2.9,-0.5,-1.6,446.438,87.425,12.5,-1.75999999,1092.81,10/23/2009,256603101,,446.438,87.425,,,13 - 15,Priced Below Range,"Consumer, Non-cyclical",Food,Food-Misc/Diversified
102,1551989D US,NAVTEQ Corp,,,14.7,1012,87.6214,22,15,1927.67,8/5/2004,63936L100,,1012,87.6214,,,20.50 - 22.50,Priced Within Range,Technology,Software,Data Processing/Mgmt
103,1553838D US,Entropic Communications Inc,-26.1,-51.2,-32.8,55.2,67.6148,6,23.33333397,405.69,12/6/2007,29384R105,-0.2,55.2,67.6148,,,8-Jun,Priced Within Range,Technology,Semiconductors,Electronic Compo-Semicon
104,1556442D US,GigPeak Inc,45.4,3.8,2.1,41.7,16.4847,6.95,-13.52517796,114.57,7/23/2004,37518Q109,0.0554221,41.7,16.4847,0.00454306,3073,6.50 - 7.50,Priced Within Range,Technology,Semiconductors,Electronic Compo-Semicon
105,1556530D US,LoopNet Inc,,,1.4,82.8,35.6521,12,25,427.83,6/7/2006,543524300,,82.8,35.6521,,,13-Nov,Priced Within Range,Financial,Real Estate,Real Estate Mgmnt/Servic
106,1566353D US,WillScot Mobile Mini Holdings,38.5,8.4,5.7,500,50,10,0.5,420,9/11/2015,N.A.,2.3,500,50,,,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Rental Auto/Equipment
107,1567639D US,RiverSource LaSalle Internatio,,,,222.5,0,25,0,0,5/25/2007,76932W102,,222.5,0,,,25 - 25,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds
108,1574849D US,Purple Communications Inc,,,-107.5,160,47.1368,16,0,754.19,4/7/2000,746389105,,160,47.1368,,,14 - 16,Priced Within Range,Communications,Telecommunications,Cellular Telecom
109,1576198D US,ArcSight LLC,,,16.3,61.7573,30.941,9,-2.444444418,278.47,2/14/2008,39666102,,61.7573,30.941,0.0271181,9386,11-Sep,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Computer Equip
110,1578924D US,Terrapin 3 Acquisition Corp,,,-0.2,212.75,21.275,10,0.100000002,212.75,7/17/2014,88104P203,,212.75,21.275,,,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis
111,1580477D US,Higher One Holdings Inc,-28.2,6.8,4.9,124.2,55.0715,12,18.91666603,660.858,6/17/2010,42983D104,-0.3,124.2,55.0715,,,15 - 17,Priced Below Range,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance
112,1612850D US,Atlantic Liberty Financial Cor,1.2,3.8,0.1,17.1098,0,10,30.20000076,0,10/23/2002,48668107,2.3,17.1098,0,,,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Eastern US
113,1618448D US,Alliance HealthCare Services I,6.8,0.1,-0.2,121.875,47.4372,13,1.153846145,616.68,7/27/2001,18606301,10,121.875,47.4372,,,15 - 17,Priced Below Range,"Consumer, Non-cyclical",Healthcare-Services,MRI/Medical Diag Imaging
114,1619058D US,Burger King Holdings Inc,-6.6,4.5,2.5,488.75,136.799,17,2.941176414,2325.58,5/18/2006,121208201,,488.75,136.799,,,15 - 17,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Restaurants
115,1619236D US,BlackRock California Insured M,,,,75,0,15,0,0,10/29/2002,92484104,,75,0,,,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds
116,1624250D US,Bazaarvoice Inc,0.7,-7.9,-2.9,130.883,56.8562,12,37.58333206,682.27,2/24/2012,73271108,0.1,130.883,56.8562,0.360817,311026,10-Aug,Priced Above Range,Technology,Software,Applications Software
117,1624831D US,TIAA FSB Holdings Inc,6.4,16.1,0.5,221.03,116.062,10,6,1160.62,5/3/2012,29977G102,4.3,221.03,116.062,,,12-Nov,Priced Below Range,Financial,Savings&Loans,S&L/Thrifts-Southern US
118,1627503D US,Colony Capital Inc/Old,180,17.8,1.5,287.5,14.631,20,-2.5,292.62,9/24/2009,19624R106,3.3,287.5,14.631,0.0428489,48584,20 - 20,Priced Within Range,Financial,REITS,REITS-Mortgage
119,1638709D US,Inforte Corp,4,-8.2,-7.2,64,11.7212,32,127.9296875,375.078,2/17/2000,45677R107,0.2,64,11.7212,,,30 - 32,Priced Within Range,Technology,Computers,Computer Services
120,1638762D US,ConvergeOne Holdings Inc,,,2.5,150,15.555,10,0.200000003,155.55,4/7/2017,34985B202,-0.1,150,15.555,,,10-Oct,Priced Within Range,Technology,Computers,Computer Services
121,1646391D US,Hostess Brands Inc,12.3,10.4,4.7,375,37.5,10,4.900000095,375,8/14/2015,382866200,1.5,375,37.5,,,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Food,Food-Baking
122,1648416D US,ExactTarget LLC,,,-7.7,185.725,65.7518,19,32.15789413,1249.28,3/22/2012,30064K105,,185.725,65.7518,,,15 - 17,Priced Above Range,Communications,Internet,E-Marketing/Info
