,Date,Company Name,Ticker,Sector,Price ($),Size (M),1,2,3,Rank,Turnover,Gain,Year
39,Jun 29,ServiceNow Inc,NOW,Technology,18.0,11,CITI,DB,MS,,93.8%,36.7%,2012
40,Jun 28,,,,13.5,6,CITI,,MS,,21.1%,1.4%,2012
41,Jun 27,,,,21.0,12,BRCL,CITI,,,67.6%,13.1%,2012
42,May 18,Meta Inc,FB,Technology,38.0,421,GS,JPM,MS,,137.5%,0.6%,2012
43,May 10,,,,9.0,6,CS,Stifel,WB,,46.6%,40%,2012
44,May 10,Western Asset Mortgage Capital Corporation,WMC,Consumer-Services,20.0,8,CITI,DB,JPM,,92.4%,-6.2%,2012
45,May 4,Tilly s Inc,TLYS,,15.5,8,BAML,GS,PPRJ,,115.2%,8.5%,2012
46,May 3,,,,20.0,18,BRCL,BAML,CITI,,55.6%,0%,2012
47,May 3,The Carlyle Group L P,CG,Finance,22.0,30,CITI,CS,JPM,,43.6%,0.2%,2012
48,May 1,Supernus Pharmaceuticals Inc,SUPN,Health-Care,5.0,10,CITI,PPRJ,,,6.8%,7.4%,2012
49,Apr 26,Ares Commercial Real Estate Corporation,ACRE,Consumer-Services,18.5,7,BAML,CITI,JPM,,41.1%,-2.7%,2012
50,Apr 25,ClearSign Combustion Corporation,CLIR,Capital-Goods,4.0,3,MDBC,,,,16.6%,5%,2012
51,Apr 20,,,,13.0,6,CS,DB,PRST,,117.9%,8.3%,2012
52,Apr 20,,,,0.5,24,,,,,1.7%,0%,2012
53,Apr 19,Splunk Inc,SPLK,Technology,17.0,13,BAML,CS,JPM,,104.6%,108.7%,2012
54,Apr 18,,,,21.0,26,BAML,MS,RAYJ,,50.4%,1.2%,2012
55,Apr 12,Forum Energy Technologies Inc,FET,Energy,20.0,18,JPM,,,,62.4%,8.8%,2012
56,Apr 12,,,,43.0,8,GS,MS,,,82.1%,-1.4%,2012
57,Apr 12,MRC Global Inc,MRC,Capital-Goods,21.0,22,BRCL,GS,,,44.7%,0.2%,2012
58,Apr 10,,,,0.4,400,,,,,0.6%,0%,2012
59,Apr 5,,,,8.0,31,CITI,DB,JPM,,32.3%,9.4%,2012
60,Mar 30,Enphase Energy Inc,ENPH,Technology,6.0,8,BAML,DB,MS,,56.3%,22.3%,2012
61,Mar 30,,,,14.0,23,CITI,GS,,,53.6%,-11.4%,2012
62,Mar 29,Merrimack Pharmaceuticals Inc,MACK,Health-Care,7.0,14,JPM,,,,2.6%,762.9%,2012
63,Mar 29,,,,18.0,23,BAML,CS,DB,,69.8%,11.1%,2012
64,Mar 28,Regional Management Corp,RM,Finance,15.0,4,JEFF,STPH,,,56.1%,9.7%,2012
65,Mar 28,,,,50.0,5,,,,,0%,-0.7%,2012
66,Mar 28,,,,16.0,5,JPM,PPRJ,,,122.5%,31.4%,2012
67,Mar 23,Vipshop Holdings Limited,VIPS,Consumer-Services,6.5,11,DB,GS,,,469.7%,-91.5%,2012
68,Mar 22,Caesarstone Ltd,CSTE,Capital-Goods,11.0,6,BRCL,CS,JPM,,73.6%,1%,2012
69,Mar 22,Energy Transfer LP,ET,,16.0,8,DB,JPM,Stifel,,25.2%,-41%,2012
70,Mar 15,Allison Transmission Holdings Inc,ALSN,Capital-Goods,23.0,26,BAML,CITI,JPM,,53.1%,1.7%,2012
71,Mar 15,MACOM Technology Solutions Holdings Inc,MTSI,Technology,19.0,6,BRCL,JPM,JEFF,,70%,8.2%,2012
72,Mar 7,Select Income REIT,SIR,Consumer-Services,21.5,8,BAML,MS,WLFG,,33.9%,0.7%,2012
73,Mar 2,Yelp Inc,YELP,Consumer-Services,15.0,7,CITI,GS,,,244.1%,63.9%,2012
74,Mar 1,Arcturus Therapeutics Ltd,ARCT,,6.0,6,LDNT,,,,3.4%,780.7%,2012
75,Feb 24,Proto Labs Inc,PRLB,Capital-Goods,16.0,4,JEFF,PPRJ,,,94%,81.3%,2012
76,Feb 17,Brightcove Inc,BCOV,Technology,11.0,5,MS,Stifel,,,87%,30%,2012
77,Feb 10,HomeStreet Inc,HMST,Finance,44.0,1,FBR,,,,130.4%,-72.7%,2012
78,Feb 10,,,,5.0,6,BAML,CITI,Stifel,,59.1%,5%,2012
79,Feb 8,ChemoCentryx Inc,CCXI,Health-Care,10.0,4,CITI,JPM,,,22.5%,10%,2012
80,Feb 8,Caesars Entertainment Corporation,CZR,Consumer-Services,9.0,1,CITI,CS,,,642%,71%,2012
81,Feb 8,Cementos Pacasmayo S A A,CPAC,Capital-Goods,11.5,20,JPM,,,,23.8%,-3.7%,2012
82,Feb 8,EPAM Systems Inc,EPAM,Technology,12.0,6,BRCL,CITI,,,55.6%,16.7%,2012
83,Feb 2,Matador Resources Company,MTDR,Energy,12.0,13,CITI,RBC,,,34.3%,-2.1%,2012
84,Feb 1,U S Silica Holdings Inc,SLCA,,17.0,11,BAML,JEFF,MS,,97.7%,-5.9%,2012
85,Jan 27,Verastem Inc,VSTM,Health-Care,10.0,5,,UBS,,,13.6%,10.9%,2012
86,Jan 25,Guidewire Software Inc,GWRE,Technology,13.0,8,CITI,DB,JPM,,79.4%,31.7%,2012
87,Jan 19,,,,10.0,7,PPRJ,UBS,,,50%,1%,2012
0,Dec 18,AMC Entertainment Holdings Inc,AMC,Consumer-Services,18.0,18,BAML,BAML,,,81.5%,5%,2013
1,Dec 12,Hilton Worldwide Holdings Inc,HLT,Consumer-Services,20.0,117,BAML,DB,GS,,20.1%,222.5%,2013
2,Dec 12,,,,7.0,7,BMO,GGNH,,,15.1%,70.7%,2013
3,Dec 12,,,,9.8,31,DB,,,,2.6%,1069.2%,2013
4,Dec 12,,,,7.0,7,GGNH,,OPPN,,21.2%,0%,2013
5,Dec 12,,,,13.5,10,RAYJ,RWB,Stifel,,24.3%,0%,2013
6,Dec 12,Aramark,ARMK,Consumer-Services,20.0,36,CS,GS,JPM,,47.4%,13.5%,2013
7,Dec 12,Autohome Inc,ATHM,Technology,17.0,7,DB,GS,,,125.1%,76.9%,2013
8,Dec 12,,,,23.0,15,BRCL,JPM,,,74.1%,21.7%,2013
9,Dec 3,Xencor Inc,XNCR,Health-Care,5.5,12,CS,LRNK,,,14.7%,51.6%,2013
10,Nov 22,Ideal Power Inc,IPWR,Energy,5.0,3,MDBC,,,,8%,7%,2013
11,Nov 22,,,,12.0,5,JPM,PPRJ,,,44.1%,28.3%,2013
12,Nov 22,Vince Holding Corp,VNCE,Consumer-Services,20.0,10,GS,RWB,,,11.9%,1333%,2013
13,Nov 22,,,,15.0,5,DB,,,,119.2%,33.4%,2013
14,Nov 21,Navigator Holdings Ltd,NVGS,Transportation,19.0,12,JEFF,MS,,,72.2%,5.3%,2013
15,Nov 21,Evogene Ltd,EVGN,Basic-Industries,14.8,5,CS,DB,,,26.9%,16.8%,2013
16,Nov 14,Tandem Diabetes Care Inc,TNDM,Health-Care,15.0,8,BAML,PPRJ,,,5%,1184%,2013
17,Nov 14,,,,12.0,18,GS,MS,,,45.4%,32.2%,2013
18,Nov 13,,,,11.0,5,BAML,DB,JEFF,,27.8%,-1.1%,2013
19,Nov 13,Dynagas LNG Partners LP,DLNG,Consumer-Services,18.0,12,CS,,,,56.4%,0%,2013
20,Nov 13,Chegg Inc,CHGG,Consumer-Services,12.5,15,BAML,JPM,,,115%,-22.6%,2013
21,Nov 13,,,,20.0,28,DB,GS,JPM,,82.6%,19.4%,2013
22,Nov 8,NMI Holdings Inc,NMIH,Finance,13.0,2,FBR,,,,73.8%,7.7%,2013
23,Nov 7,LGI Homes Inc,LGIH,Capital-Goods,11.0,9,DB,JPM,JMPS,,28.6%,17.3%,2013
24,Nov 7,Twitter Inc,TWTR,Technology,26.0,70,GS,JPM,MS,,168.1%,72.7%,2013
25,Nov 6,Wix com Ltd,WIX,Technology,16.5,7,BAML,JPM,RBC,,144.2%,-1.2%,2013
26,Nov 6,Karyopharm Therapeutics Inc,KPTI,Health-Care,16.0,6,BAML,LRNK,MS,,87.5%,0.3%,2013
27,Nov 6,,,,15.0,27,CITI,JPM,,,51.2%,-6.7%,2013
28,Nov 6,,,,20.0,6,BRCL,DB,KBW,,82.1%,-5.5%,2013
29,Nov 1,Container Store Group Inc,TCS,,18.0,12,BRCL,CS,JPM,,117.3%,101.1%,2013
30,Oct 31,Essent Group Ltd,ESNT,Finance,17.0,19,BRCL,GS,JPM,,81.3%,23.5%,2013
31,Oct 31,Marcus & Millichap Inc,MMI,Finance,12.0,6,CITI,GS,,,42.2%,11.8%,2013
32,Oct 31,,,,17.0,11,CITI,CS,MS,,187.5%,41.9%,2013
33,Oct 30,Veracyte Inc,VCYT,Health-Care,13.0,5,LRNK,MS,,,91.9%,1.9%,2013
34,Oct 30,Brixmor Property Group Inc,BRX,Consumer-Services,20.0,41,BAML,CITI,JPM,,58.6%,2%,2013
35,Oct 30,Criteo S A,CRTO,Technology,31.0,8,DB,JPM,JEFF,,114.4%,14.2%,2013
36,Oct 25,CommScope Holding Company Inc,COMM,Technology,15.0,38,BAML,DB,JPM,,56.9%,-0.1%,2013
37,Oct 25,Sprague Resources LP,SRLP,Energy,18.0,8,BRCL,BAML,JPM,,69.6%,-1.4%,2013
38,Oct 25,,,,12.0,21,CS,GS,MS,,58.4%,-6.3%,2013
39,Oct 25,Aerie Pharmaceuticals Inc,AERI,Health-Care,10.0,6,RBC,Stifel,,,39.9%,6.1%,2013
40,Oct 18,voxeljet AG,VJET,Capital-Goods,13.0,6,CITI,PPRJ,,,189.4%,121.5%,2013
41,Oct 16,Veeva Systems Inc,VEEV,Technology,20.0,13,DB,MS,,,107%,85.8%,2013
42,Oct 16,Plains Group Holdings L P,PAGP,,22.0,128,BRCL,GS,JPM,,15.5%,166.3%,2013
43,Oct 10,MacroGenics Inc,MGNX,Health-Care,16.0,5,BAML,LRNK,,,107.2%,56.2%,2013
44,Oct 10,Antero Resources Corporation,AR,Energy,44.0,35,BRCL,CITI,JPM,,81.9%,18.2%,2013
45,Oct 9,,,,21.0,12,GS,JEFF,,,44.1%,0%,2013
46,Oct 4,Potbelly Corporation,PBPB,Consumer-Services,14.0,7,BAML,GS,,,226.5%,119.8%,2013
47,Oct 4,Cherry Hill Mortgage Investment Corporation,CHMI,Consumer-Services,20.0,6,BRCL,CITI,MS,,85.1%,-7.5%,2013
48,Oct 2,Burlington Stores Inc,BURL,Consumer-Services,17.0,13,BAML,JPM,MS,,112.5%,47.1%,2013
49,Oct 2,,,,13.0,71,BAML,GS,,,39.2%,0.8%,2013
50,Oct 2,RE MAX Holdings Inc,RMAX,Finance,22.0,10,BAML,JPM,MS,,138.4%,22.7%,2013
51,Oct 1,Fate Therapeutics Inc,FATE,Health-Care,6.0,6,BMO,COWN,,,31.2%,10.3%,2013
52,Sep 27,,,,22.0,16,BMO,MS,,,63.3%,5.8%,2013
53,Sep 27,Ringcentral Inc,RNG,Technology,13.0,7,BAML,GS,JPM,,108.4%,40%,2013
54,Sep 26,Premier Inc,PINC,Consumer-Services,27.0,28,BAML,JPM,WLFG,,67.6%,13.5%,2013
55,Sep 26,Applied Optoelectronics Inc,AAOI,Technology,10.0,3,PPRJ,RAYJ,,,26.4%,-0.4%,2013
56,Sep 25,Evoke Pharma Inc,EVOK,Health-Care,12.0,2,AGIS,,,,35.6%,-2.2%,2013
57,Sep 25,,,,22.0,7,JPM,MS,,,99%,19.5%,2013
58,Sep 20,,,,20.0,15,BRCL,GS,JPM,,111.2%,80%,2013
59,Sep 19,,,,15.0,5,CITI,LRNK,,,98.9%,33.3%,2013
60,Sep 18,,,,13.0,4,BMO,JEFF,WLFG,,91.8%,0.6%,2013
61,Sep 18,Benefitfocus Inc,BNFT,Technology,26.5,4,DB,GS,JEFF,,125.5%,102.1%,2013
62,Sep 18,Controladora Vuela Compania de Aviacion S A B de C V,VLRS,,12.0,22,DB,MS,,,44.4%,16.8%,2013
63,Aug 16,,,,5.0,13,CITI,LRNK,,,28%,-17%,2013
64,Aug 15,,,,12.5,22,CS,JPM,MS,,63.6%,4.5%,2013
65,Aug 13,TD Holdings Inc.,GLG,Finance,6.5,1,AXOM,BNHM,,,23.8%,-1.7%,2013
66,Aug 13,,,,8.5,4,JMPS,LDNT,WB,,22%,-0.6%,2013
67,Aug 9,MiX Telematics Limited,MIXT,Technology,16.0,6,RAYJ,WB,,,60.5%,13.3%,2013
68,Aug 9,,,,22.0,30,BRCL,CS,,,68.7%,19.8%,2013
69,Aug 8,,,,16.0,9,BRCL,JPM,,,106.3%,50.6%,2013
70,Aug 8,Fox Factory Holding Corp,FOXF,Consumer-Non-Durables,15.0,8,PPRJ,RWB,WB,,74.3%,24.1%,2013
71,Aug 2,,,,16.0,4,BAML,RAYJ,,,94.8%,25.3%,2013
72,Aug 2,Marrone Bio Innovations Inc,MBII,Basic-Industries,12.0,4,JEFF,PPRJ,,,20.7%,14.6%,2013
73,Aug 1,Sprouts Farmers Market Inc,SFM,Consumer-Services,18.0,18,CS,GS,,,79.8%,122.8%,2013
74,Aug 1,American Homes 4 Rent,AMH,Consumer-Services,16.0,44,BAML,FBR,GS,,47.8%,-2.5%,2013
75,Aug 1,Ardmore Shipping Corporation,ASC,Transportation,14.0,10,,JEFF,MS,,33.6%,-3.6%,2013
76,Jul 25,,,,11.0,6,PPRJ,Stifel,,,57%,-13.6%,2013
77,Jul 25,Onconova Therapeutics Inc,ONTX,Health-Care,15.0,5,CITI,LRNK,,,0.7%,98.7%,2013
78,Jul 24,Agios Pharmaceuticals Inc,AGIO,Health-Care,18.0,5,GS,JPM,,,105.3%,73.8%,2013
79,Jul 24,,,,10.0,2,AGIS,,,,4.4%,857%,2013
80,Jul 24,,,,21.1,19,,CS,JPM,,44.3%,0%,2013
81,Jul 23,,,,23.0,16,JPM,MS,,,102.5%,29.1%,2013
82,Jul 19,Rexford Industrial Realty Inc,REXR,Consumer-Services,14.0,16,BAML,FBR,JPM,,66.6%,0.3%,2013
83,Jul 19,,,,11.5,10,,JMS,JMPS,,15.6%,0%,2013
84,Jul 18,,,,17.0,4,JEFF,LRNK,,,99.7%,59.9%,2013
85,Jul 17,Clearway Energy Inc,CWEN,Public-Utilities,22.0,19,BAML,CITI,GS,,2.7%,11.4%,2013
86,Jun 28,Noodles & Company,NDLS,Consumer-Services,18.0,5,BAML,MS,UBS,,144.2%,104.2%,2013
87,Jun 27,Silvercrest Asset Management Group Inc,SAMG,Finance,11.0,4,RAYJ,SNDL,,,19.8%,7.5%,2013
88,Jun 27,,,,6.0,5,,Stifel,,,11%,37.7%,2013
89,Jun 27,CDW Corporation,CDW,Consumer-Services,17.0,23,BRCL,GS,JPM,,35.6%,8.1%,2013
90,Jun 27,,,,18.0,53,BRCL,BAML,CS,,65.8%,3.7%,2013
91,Jun 26,Esperion Therapeutics Inc,ESPR,Health-Care,14.0,5,CITI,CS,,,61.7%,3.6%,2013
92,Jun 26,NanoString Technologies Inc,NSTG,Health-Care,10.0,5,JPM,MS,,,56.7%,-19.4%,2013
93,Jun 26,,,,17.0,4,CS,JPM,UBS,,108.8%,19.9%,2013
94,Jun 21,Gogo Inc,GOGO,Consumer-Services,17.0,11,JPM,MS,UBS,,77.7%,-5.9%,2013
95,Jun 20,PTC Therapeutics Inc,PTCT,Health-Care,15.0,8,CS,JPM,,,40.3%,9.9%,2013
96,Jun 20,Truett Hurst Inc,THST,Consumer-Non-Durables,6.0,2,,,,,8.7%,-5.3%,2013
97,Jun 19,bluebird bio Inc,BLUE,Health-Care,17.0,5,BAML,JPM,,,89.3%,58.3%,2013
98,Jun 13,Coty Inc,COTY,Consumer-Non-Durables,17.5,57,BAML,JPM,MS,,81%,-0.8%,2013
99,Jun 6,LightInTheBox Holding Co Ltd,LITB,,9.5,8,CS,Stifel,,,106.5%,22.2%,2013
100,May 31,Epizyme Inc,EPZM,Health-Care,15.0,5,CITI,COWN,LRNK,,63.9%,53.3%,2013
101,May 31,Kamada Ltd,KMDA,Health-Care,9.3,5,JEFF,MS,,,57%,9.2%,2013
102,May 23,,,,14.0,5,GS,Stifel,,,101.1%,31.7%,2013
103,May 23,,,,11.0,7,GS,MS,,,40.2%,23.2%,2013
104,May 23,Constellium N V,CSTM,Basic-Industries,15.0,22,,DB,GS,,40.6%,-3.1%,2013
105,May 22,,,,14.5,8,CS,MS,,,40.1%,4.5%,2013
106,May 17,,,,31.0,8,GS,MS,,,102.5%,63.7%,2013
107,May 16,,,,25.0,8,CITI,CS,,,103.5%,2%,2013
108,May 9,,,,17.0,7,BAML,CITI,JPM,,73%,-2.6%,2013
109,May 9,PennyMac Financial Services Inc,PFSI,Finance,18.0,11,BAML,CITI,CS,,58.6%,6.1%,2013
110,May 9,,,,11.5,5,KBW,RWB,STPH,,59.5%,9.5%,2013
111,May 8,Armada Hoffler Properties Inc,AHH,Finance,11.5,16,RAYJ,RWB,Stifel,,28%,0.7%,2013
112,May 3,QIWI plc,QIWI,Miscellaneous,17.0,12,CS,JPM,,,78.1%,0.5%,2013
113,May 2,Voya Financial Inc,VOYA,Finance,19.5,65,CITI,GS,MS,,50.5%,6.9%,2013
114,May 2,,,,8.0,4,JMPS,WLFG,,,81.2%,-60.4%,2013
115,May 1,,,,8.9,3,COWN,,,,4.3%,0.9%,2013
116,May 1,Ellington Residential Mortgage REIT,EARN,Consumer-Services,20.0,6,CS,DB,,,87%,-3.9%,2013
117,Apr 19,SeaWorld Entertainment Inc,SEAS,Consumer-Services,27.0,26,GS,JPM,,,83.4%,24.1%,2013
118,Apr 18,,,,18.0,19,BAML,GS,JPM,,46.1%,6.9%,2013
119,Apr 18,Hannon Armstrong Sustainable Infrastructure Capital Inc,HASI,Consumer-Services,12.5,13,BAML,UBS,WLFG,,39.2%,-8.8%,2013
120,Apr 12,Evertec Inc,EVTC,Technology,20.0,25,GS,JPM,,,80%,2.2%,2013
121,Apr 11,Chimerix Inc,CMRX,Health-Care,14.0,7,COWN,MS,,,61.5%,34.2%,2013
122,Apr 10,KNOT Offshore Partners LP,KNOP,Consumer-Services,21.0,7,BRCL,BAML,CITI,,73.7%,3.8%,2013
123,Apr 10,Taylor Morrison Home Corporation,TMHC,Capital-Goods,22.0,28,CITI,CS,,,84.6%,4.7%,2013
124,Apr 5,,,,10.0,600,AGIS,FLTI,RWB,,8%,12.5%,2013
125,Apr 3,Independent Bank Group Inc,IBTX,Finance,26.0,3,,KBW,SNDL,,3.1%,10.8%,2013
126,Mar 21,Enanta Pharmaceuticals Inc,ENTA,Health-Care,4.0,14,CS,JPM,,,12.6%,329.5%,2013
127,Mar 20,Model N Inc,MODN,Technology,15.5,6,DB,JPM,,,147.8%,28.9%,2013
128,Mar 20,,,,7.0,10,BRCL,BMO,,,16.1%,0%,2013
129,Mar 7,Artisan Partners Asset Management Inc,APAM,Finance,30.0,11,CITI,GS,,,72.9%,29.4%,2013
130,Mar 5,Professional Diversity Network Inc,IPDN,Technology,8.0,2,AGIS,RDMN,,,4.7%,667%,2013
131,Feb 14,Orchid Island Capital Inc,ORC,Consumer-Services,15.0,2,LDNT,OPPN,,,10.4%,-1.3%,2013
132,Feb 13,,,,80.9,15,GGNH,,,,0%,0%,2013
133,Feb 12,ConnectOne Bancorp Inc,CNOB,Finance,28.0,1,Stifel,,,,0.4%,-54.7%,2013
134,Feb 12,,,,5.9,4,SNDL,,,,4.2%,1.7%,2013
135,Feb 8,,,,14.0,4,CITI,CS,,,72.7%,-2.1%,2013
136,Feb 7,,,,18.0,5,FBR,,,,124%,47.3%,2013
137,Feb 6,Boise Cascade L L C,BCC,,21.0,11,BAML,GS,,,112.1%,24.5%,2013
138,Feb 1,Zoetis Inc,ZTS,Health-Care,26.0,86,BAML,JPM,MS,,77.6%,19.3%,2013
139,Jan 31,TRI Pointe Group Inc,TPH,Capital Goods,17.0,13,CITI,DB,FBR,,92.9%,12.1%,2013
140,Jan 29,,,,10.0,3,AGIS,JMPS,OPPN,,34.7%,18%,2013
141,Jan 29,Gladstone Land Corporation,LAND,Consumer-Services,15.0,3,JMS,JMPS,,,26.7%,0%,2013
142,Jan 25,Bright Horizons Family Solutions Inc,BFAM,Miscellaneous,22.0,10,BRCL,GS,JPM,,91.3%,28.7%,2013
143,Jan 18,Norwegian Cruise Line Holdings Ltd,NCLH,,19.0,23,BRCL,UBS,,,75.5%,30.5%,2013
144,Jan 18,,,,19.0,16,BAML,MS,,,77.2%,11.6%,2013
145,Jan 18,,,,19.0,13,BRCL,BAML,CITI,,113%,-3.9%,2013
146,Jan 17,,,,25.0,24,CITI,CS,,,78.7%,0.2%,2013
147,Jan 15,USA Compression Partners LP,USAC,,18.0,11,BRCL,GS,JPM,,83.9%,-2.2%,2013
0,Dec 17,,,,20.0,10,BAML,DB,JPM,,127%,39.9%,2014
1,Dec 12,James River Group Holdings Ltd.,JRVR,Finance,21.0,11,BMO,FBR,KBW,,31.1%,1.2%,2014
2,Dec 12,Workiva Inc.,WK,Technology,14.0,7,CS,MS,,,69.9%,-1.8%,2014
3,Dec 12,New Relic Inc.,NEWR,Technology,23.0,5,JPM,MS,,,166.8%,47.8%,2014
4,Dec 12,,,,11.0,87,BRCL,GS,JPM,,41.9%,-34.3%,2014
5,Dec 11,LendingClub Corporation,LC,Miscellaneous,15.0,57,GS,MS,,,80.6%,56.2%,2014
6,Dec 11,Momo Inc.,MOMO,Technology,13.5,16,CRNS,,JPM,,124%,26.1%,2014
7,Dec 3,,,,11.0,5,CNCD,COWN,NDHM,,27.7%,6.8%,2014
8,Nov 21,,,,9.0,10,FBR,RWB,Stifel,,43.4%,-5.4%,2014
9,Nov 20,,,,18.0,5,PPRJ,RWB,WLFG,,221.3%,119.7%,2014
10,Nov 19,Second Sight Medical Products Inc.,EYES,Health-Care,9.0,3,MDBC,,,,139.5%,121.9%,2014
11,Nov 19,Paramount Group Inc.,PGRE,Consumer-Services,17.5,131,BAML,MS,WLFG,,43.7%,3.9%,2014
12,Nov 18,STORE Capital Corporation,STOR,Consumer-Services,18.5,27,CS,GS,MS,,37.3%,5.4%,2014
13,Nov 18,,,,12.0,10,DB,GS,JPM,,61.2%,-2.5%,2014
14,Nov 14,FibroGen Inc,FGEN,Health-Care,18.0,8,CITI,GS,LRNK,,79.5%,22.2%,2014
15,Nov 14,,,,19.0,2,RAYJ,RBC,RWB,,22.9%,0.5%,2014
16,Nov 13,,,,18.0,16,CITI,JEFF,UBS,,36.4%,9%,2014
17,Nov 13,,,,8.0,5,COWN,FBR,ROTH,,6.6%,14.4%,2014
18,Nov 13,,,,15.0,8,BAML,CITI,CS,,70.1%,-8%,2014
19,Nov 12,Axalta Coating Systems Ltd.,AXTA,Basic-Industries,19.5,50,CITI,DB,GS,,49.7%,6.4%,2014
20,Nov 11,The Joint Corp.,JYNT,Miscellaneous,6.5,3,FLTI,ROTH,,,20.8%,1.2%,2014
21,Nov 7,Freshpet Inc.,FRPT,Consumer-Non-Durables,15.0,10,CS,GS,,,95.3%,27.4%,2014
22,Nov 7,Triumph Bancorp Inc.,TBK,Finance,12.0,6,EVCR,SNDL,WLFG,,26.2%,6.3%,2014
23,Nov 6,Upland Software Inc.,UPLD,Technology,12.0,3,RAYJ,WB,,,68.1%,-18.8%,2014
24,Nov 6,Coherus BioSciences Inc.,CHRS,Health-Care,13.5,6,CS,JPM,,,54.5%,-6.6%,2014
25,Nov 6,Nevro Corp.,NVRO,Health-Care,18.0,7,JPM,MS,,,80.6%,39.9%,2014
26,Nov 5,Antero Midstream Partners LP,AM,Public-Utilities,25.0,40,BRCL,CITI,WLFG,,77.3%,12.1%,2014
